,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100382,13.604674074889623,-3.8514849722921527,13.604674074889623,0.2967252456538172,0.4451891583314075,417.85599999999977,401.72800000000007,417.09925243200047,148,0,0.2327688136247488,-0.4609498511603546,0.4609498511603546,0.2327688136247488,1.1,1.9333333333333333,2.7333333333333334,1.7771319011123505,2120.258808231547,34.53013304691796,30.430529031436745,15.1864579774552,21.176240361555298,15.961029447450178,8.391780324959448,5.4454170801268535,5.8233815531360795,3.5734206046763943,3.7624028411810078,2.384823830981068,2.5265605083595286,-3.7099999999999995,7075094534.90641,7.847184852966317,7.606633616334712,3.5074157607415968,198.41420472254023,4.417150937053347,1.3707585561702202,12.81926671797037,17.67992350833793,0.0,0.0,10.104350537360197,9.967957041894417,4.5153978936156225,5.098681808301038,41.81303342854899,42.14846993134285,22.26481665421638,25.4635009141592,31.184908542006664,40.0065610534193,0.0,19.582036743811077,0.0,12.745849802658759,5.309813353288376,77.24948651691201,0.0,11.58465191687437,5.309813353288376,5.948339280986494,0.0,11.600939890232516,25.489216473162582,11.167462085401201,0.0,32.49775473557967,71.08055264852703,6.434475392069527,28.13475406972315,0.0,85.32000000000001,124.59938518516714,4.794537184071822,0.0,10.696037567753171,4.5153978936156225,0.0,0.0,0.0,0.0,15.066638850195453,37.99131124816737,0.0,6.073708481197264,0.0,0.0,0.0,130.19240403379513,0.0,0.0,5.666571332595181,1.5117605968568577,0.09090909090909091,30,1,7,0,0,0,2,3,5,6,1,8,5,0,0,0,5,4.762200000000003,114.3927,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL106265,12.83421304169816,-3.77645738851096,12.83421304169816,0.2621759259259262,0.8036097635874616,248.28600000000012,232.15799999999996,248.127325752,96,0,0.3317034109521321,-0.33586804794559244,0.33586804794559244,0.3317034109521321,1.2222222222222223,1.9444444444444444,2.611111111111111,2.6410055647715045,1282.9403404138666,26.825908934703556,24.60535096292756,8.60535096292756,14.83123945894771,12.591529863463611,4.644316267963653,3.352974334493392,3.352974334493392,2.302463052519247,2.302463052519247,1.4592525500557478,1.4592525500557478,-1.8499999999999999,6375736.3973600445,3.1784572626578544,3.8279716628439995,1.4450013951860907,125.81050747053452,4.977003270229252,11.341105215616189,7.059019299095929,0.0,5.559266895052008,5.689743398203474,13.928736479654532,9.77851570501903,0.0,0.0,12.745849802658759,12.745849802658759,40.40698982848089,0.0,21.9732204208815,11.16387793838399,0.0,19.09518108675917,13.951653800564491,31.385657290680598,0.0,26.66248915939905,0.0,0.0,11.24901029325548,0.0,0.0,0.0,19.09518108675917,13.951653800564491,0.0,57.771440131233874,9.589074368143644,1.4118420783282006,11.16387793838399,0.0,72.68,78.14170346867584,9.589074368143644,0.0,9.544102918020606,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,21.9732204208815,0.0,0.0,0.0,0.0,0.0,125.51497997501465,0.0,0.0,-0.761228977702193,-4.670417663979181,0.5833333333333334,18,1,6,1,0,1,0,2,2,5,1,6,3,1,0,1,3,0.617899999999999,67.78470000000002,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1079801,12.550607310825562,-2.9999153727849164,12.550607310825562,0.21184429327286525,0.9111997329553364,253.26100000000008,242.17299999999997,253.085126592,94,0,0.22813618457451554,-0.4626772731443367,0.4626772731443367,0.22813618457451554,1.4736842105263157,2.3157894736842106,2.9473684210526314,2.199689625244752,1123.373934022156,22.97217330464553,20.1581373674276,9.158137367427601,13.661808585761392,10.42762001994565,4.9804064244456905,3.346024646997273,3.346024646997273,2.132159175506318,2.132159175506318,1.2476637288426975,1.2476637288426975,-2.6100000000000003,2325706.701518445,4.494247868158743,4.575951652716755,2.3331111125391395,124.93805008824293,9.726964290341723,18.951770641645982,7.172089497202643,5.907179729351506,0.0,0.0,4.794537184071822,4.9839785209472085,5.261891554738487,0.0,0.0,36.91552463331194,12.747750466214178,17.285700351218615,24.331115761155566,11.725042507186533,5.261891554738487,4.9839785209472085,5.893957685363079,12.745849802658759,5.309813353288376,35.972340957190916,0.0,17.523396726515177,5.309813353288376,5.817862777835028,0.0,0.0,10.891158250298714,4.794537184071822,17.22507055289384,32.01688685605795,34.826040402547264,1.4118420783282006,11.454175413722904,0.0,78.92,77.7913663661222,10.056428738810308,0.0,5.309813353288376,0.0,0.0,0.0,6.069221312792274,0.0,4.9839785209472085,19.53657857708375,0.0,0.0,0.0,0.0,0.0,84.61029768954056,0.0,0.0,4.921288855820105,9.885080121305993,0.21428571428571427,19,1,5,1,0,1,0,2,2,4,1,5,3,1,0,1,3,2.5617800000000006,68.00770000000001,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1082005,12.982838853950415,-3.1537954509232007,12.982838853950415,0.3157284974174863,0.7871290947975362,319.3639999999997,302.228,319.1320767840005,120,0,0.22813617972808567,-0.4597300894322953,0.4597300894322953,0.22813617972808567,1.1666666666666667,2.0,2.7083333333333335,2.096687331296559,1590.0435324893938,31.358924650593657,28.6581373674276,11.658137367427601,18.550342703869067,14.901226817695628,6.45401322219567,4.4216935173632175,4.4216935173632175,2.857493610689289,2.857493610689289,1.7818507131819108,1.7818507131819108,-2.9499999999999993,323297404.04879117,5.021743558626257,5.922816701634716,2.9267803018246,163.25203559479155,9.726964290341723,17.272038191557932,7.172089497202643,5.907179729351506,0.0,0.0,9.77851570501903,4.9839785209472085,0.0,0.0,0.0,61.4157056576312,34.769268048051366,10.96606844936176,32.55566709817688,11.725042507186533,0.0,9.967957041894417,5.893957685363079,19.597741919954437,5.309813353288376,54.36055008648373,0.0,22.581078397116894,5.309813353288376,5.817862777835028,0.0,0.0,15.875136771245923,4.794537184071822,12.745849802658757,40.43823412025674,53.01745360466263,1.4118420783282006,22.581078397116894,0.0,68.02000000000001,114.1583705961047,4.794537184071822,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,9.967957041894417,27.761129914105066,0.0,0.0,0.0,0.0,0.0,135.20887204086756,0.0,0.0,5.235878094293272,-6.944750135160875,0.21052631578947367,24,1,5,1,0,1,0,3,3,4,1,5,5,1,0,1,4,4.060520000000002,91.26070000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1086846,13.117286470143611,-0.7815532879818596,13.117286470143611,0.015591458805743974,0.581265622136046,279.32399999999984,270.252,279.0466329080002,96,0,0.2207091933013696,-0.36775574540270717,0.36775574540270717,0.2207091933013696,0.95,1.75,2.5,2.157935469583877,1240.990858194051,21.358924650593657,18.6581373674276,10.474633948355327,13.556325768012773,9.874833615445606,6.296903005373417,3.9581928289457324,4.774689409873458,2.870872603351034,3.5745321319643564,2.086517092854616,2.6370835125439895,-2.5299999999999994,3134740.732057016,5.456571264837257,3.9799786350612183,1.4374373077600169,131.24662228784038,5.719716975726273,0.0,8.60692910302134,5.948339280986494,0.0,0.0,4.794537184071822,9.967957041894417,0.0,11.336785877934737,30.212093538316473,11.398533117330894,11.126902983393991,31.423764568286753,17.213531233919763,23.06837010528617,0.0,9.967957041894417,0.0,0.0,5.719716975726273,52.737529639041355,0.0,21.828454675095216,5.719716975726273,5.948339280986494,0.0,11.336785877934737,15.751201988259357,0.0,0.0,25.51675006065735,41.610626655647366,2.8236841566564013,21.828454675095216,0.0,68.87,35.90125905800461,4.794537184071822,0.0,56.116026459209664,11.336785877934737,0.0,0.0,0.0,0.0,9.967957041894417,12.41899404984794,0.0,0.716352460737381,0.0,0.0,0.0,70.45001684933231,0.0,0.0,0.0,15.666964023263628,0.0,20,2,4,1,0,1,1,2,3,5,1,5,2,0,0,0,4,2.9987000000000004,78.62590000000002,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL1086847,13.039433106575963,-0.7422940287226003,13.039433106575963,0.021445578231292783,0.5786497663992065,280.3119999999999,272.24800000000005,280.0418818760002,96,0,0.22076546780699016,-0.3677549578375358,0.3677549578375358,0.22076546780699016,1.0,1.8,2.55,2.132808091625176,1175.5599970430715,20.48868116259058,17.60535096292756,10.421847543855286,13.128805413084207,9.322047210945565,6.244116600873375,3.907828045872263,4.702774667403112,2.8290135326783656,3.5003481221963737,2.053950067669063,2.577579038112343,-2.5999999999999996,2104749.3105566716,5.802301130728029,3.944809120045437,1.4213106873898411,129.06129976861905,5.719716975726273,10.701551691701226,8.60692910302134,5.948339280986494,0.0,0.0,4.794537184071822,14.951935562841626,0.0,11.336785877934737,24.16967483065318,0.0,22.655912603876352,19.481930823566774,15.842772677749544,23.06837010528617,0.0,14.951935562841626,0.0,0.0,5.719716975726273,46.825587434529524,0.0,21.958931178246683,5.719716975726273,5.948339280986494,0.0,11.336785877934737,20.735180509206565,0.0,0.0,24.14599150448713,35.69868445113554,2.8236841566564013,21.958931178246683,0.0,81.75999999999999,35.90125905800461,4.794537184071822,0.0,50.3345607578493,0.0,11.336785877934737,0.0,0.0,0.0,14.951935562841626,11.048235493677721,0.0,0.7661209792558996,0.0,0.0,0.0,62.02600649827832,0.0,0.0,0.0,20.37453918913244,0.0,20,2,5,1,0,1,1,2,3,6,1,6,2,0,0,0,4,2.3937,76.42090000000002,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL1086956,13.32700727513227,-3.4816727686444953,13.32700727513227,0.015222978080121408,0.7355156605423445,258.346,244.23399999999995,258.08268406800005,92,0,0.2629115762130588,-0.2844571283567925,0.2844571283567925,0.2629115762130588,1.5555555555555556,2.4444444444444446,3.2777777777777777,2.6456499052974842,1242.559475373,24.86987900907357,22.710923771927643,9.527420352855367,14.175704141204152,11.73040642444569,5.546903005373416,3.29911513878979,4.298185905552571,2.3196066416023156,3.318677408365097,1.5991787160246045,2.5732914160352536,-1.6,3608166.0795757715,3.705060204237158,4.253481805104161,1.5841976276835599,129.146738626028,0.0,12.025559473790713,0.0,0.0,5.559266895052007,0.0,9.361636831863176,4.9839785209472085,0.0,17.73618741275668,5.920434318855644,37.90704321431019,19.95549131157372,14.624601011121179,19.190619786383078,21.5534065120201,0.0,9.551078168738563,0.0,38.84045140692914,0.0,26.618807262522054,0.0,12.319835853677588,5.559266895052007,0.0,0.0,11.336785877934737,9.551078168738563,19.242709486974704,19.17172797097327,48.2014727724401,4.794537184071822,0.0,10.216620634085363,0.0,34.89,70.88134211946473,4.794537184071822,0.0,4.567099647791355,11.336785877934737,0.0,6.399401534821945,5.920434318855644,0.0,4.9839785209472085,19.190619786383078,0.0,0.2974926513815397,0.0,0.0,0.0,110.66951131275128,0.0,0.0,0.015222978080121408,-4.648893608879636,0.42857142857142855,18,0,3,1,0,1,0,2,2,4,0,4,2,0,0,0,3,2.2784199999999997,74.09200000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CHEMBL1086977,13.225232426303855,-0.8946900982615269,13.225232426303855,0.004383030990173786,0.5757681993160988,274.2829999999998,264.203,274.08546094000025,100,0,0.22068082650830015,-0.3677561399639835,0.3677561399639835,0.22068082650830015,0.7619047619047619,1.4285714285714286,2.142857142857143,2.2047572386079293,1300.9670975012136,22.936274919783287,20.197102672463696,10.197102672463696,14.467009370535733,10.663798920481701,5.769371729481786,4.135354735106837,4.135354735106837,2.9860513362318457,2.9860513362318457,2.1565415304786564,2.1565415304786564,-3.0799999999999996,7006118.179850645,5.366112238903888,4.208823562666065,1.6402286225512197,134.2308774985432,5.719716975726273,0.0,8.60692910302134,5.948339280986494,0.0,0.0,9.77851570501903,9.967957041894417,0.0,0.0,24.16967483065318,12.08483741532659,29.03614489672051,27.917375930755675,18.584289790089983,11.731584227351433,0.0,14.951935562841626,0.0,0.0,5.719716975726273,59.727205651003274,0.0,22.514758973090913,5.719716975726273,5.948339280986494,0.0,0.0,20.735180509206565,0.0,0.0,26.88750861682757,48.600302667609284,2.8236841566564013,22.514758973090913,0.0,81.75999999999999,71.58926638150618,4.794537184071822,0.0,28.10399944566572,0.0,0.0,0.0,0.0,0.0,14.951935562841626,13.78975260601816,0.0,0.0,0.0,0.0,0.0,78.77224120976827,0.0,0.0,0.0,15.894425456898402,0.0,21,2,5,1,0,1,1,2,3,5,1,5,2,0,0,0,4,2.3322000000000003,78.54390000000002,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1087078,8.364777071590293,-3.0295695446962583,8.364777071590293,0.1900982615268325,0.6892538946328365,306.3899999999998,292.2780000000001,306.0826840680004,108,0,0.22670018684935314,-0.4639282302863419,0.4639282302863419,0.22670018684935314,1.2727272727272727,2.1363636363636362,3.0,2.139166240711612,1474.3978818171322,27.170843917394798,24.710923771927643,11.52742035285537,16.40271987742456,12.960923771927643,6.777420352855369,4.042829087396753,5.041899854159534,2.8042980510887694,3.8033688178515503,1.9487142613074462,2.9228269613180973,-2.38,43997932.94345515,5.072495569804698,5.432798172742178,2.1462937496394976,152.2160002461666,4.736862953800049,6.201154975790787,12.383389740916215,5.879988336435371,0.0,0.0,0.0,4.9839785209472085,4.9839785209472085,17.73618741275668,36.13252785717212,24.682226195685136,18.665150022419613,14.981534107656334,23.927482740183127,21.5534065120201,0.0,9.967957041894417,0.0,19.118774703988137,6.558985242916289,40.65269222371477,0.0,29.58768017980988,4.736862953800049,0.0,5.879988336435371,11.336785877934737,16.526942284810705,12.745849802658759,12.319835853677588,36.00414337311076,30.212093538316473,0.0,21.604476623782283,0.0,35.010000000000005,78.7211493030502,0.0,0.0,15.093767827786662,11.336785877934737,0.0,0.0,6.399401534821945,5.920434318855644,9.967957041894417,23.927482740183127,0.0,0.5486689289913491,0.0,0.0,0.0,112.13231274015321,0.0,0.0,0.0,-1.347648335811214,0.2222222222222222,22,0,3,1,0,1,1,2,3,4,0,4,3,0,0,0,4,3.8590000000000027,89.20400000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CHEMBL1087079,8.514777071590293,-3.464939915066629,8.514777071590293,0.35861678004535125,0.6767779711957291,320.4169999999998,304.2890000000001,320.09833413200045,114,0,0.2267001852697649,-0.46392823029036323,0.46392823029036323,0.2267001852697649,1.2173913043478262,2.0434782608695654,2.9130434782608696,2.20175215907857,1573.6310869504375,29.670843917394798,27.210923771927643,12.02742035285537,17.65271987742456,14.210923771927643,7.027420352855369,4.167829087396753,5.166899854159534,2.8667980510887694,3.8658688178515503,1.9799642613074462,2.9540769613180977,-2.38,145231944.84578487,5.05658980404708,6.018149029588845,2.5768011295211437,161.39088336089884,4.736862953800049,6.201154975790787,12.383389740916215,5.879988336435371,0.0,0.0,0.0,4.9839785209472085,4.9839785209472085,17.73618741275668,36.13252785717212,31.055151097014516,21.406667134760053,14.981534107656334,26.668999852523566,21.5534065120201,0.0,9.967957041894417,0.0,25.491699605317518,6.558985242916289,40.65269222371477,0.0,29.58768017980988,4.736862953800049,0.0,5.879988336435371,11.336785877934737,16.526942284810705,12.745849802658759,12.319835853677588,45.1185853867806,30.212093538316473,0.0,21.604476623782283,0.0,35.010000000000005,95.35744561254569,0.0,0.0,4.830396419620566,11.336785877934737,0.0,0.0,12.319835853677588,0.0,9.967957041894417,26.668999852523566,0.0,0.3960763363987565,0.0,0.0,0.0,129.56498914430327,0.0,0.0,0.0,-7.377732147368692,0.2631578947368421,23,0,3,1,0,1,1,2,3,4,0,4,3,0,0,0,4,4.249100000000003,93.82100000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
