,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100081,15.2360789884884,-6.900593601499946,15.2360789884884,1.1801649021719594,0.35317605021984483,553.6810000000016,518.4010000000003,553.2246568400009,208,0,0.3477177982291476,-0.758643596646518,0.758643596646518,0.3477177982291476,0.9743589743589743,1.641025641025641,2.3076923076923075,2.266538452741746,2865.3859687956547,58.53856921535524,53.69937881974691,19.51587540067464,32.5498828037431,27.15929455389482,11.204930691695546,6.465672825282809,8.189202167073097,4.1143333442367,5.588942870224629,2.511980767712411,3.68896950162648,-3.599999999999999,181993690735696.22,7.775494658064131,12.967419982698962,6.889240255181464,278.81139463397034,25.047034759913156,25.966710672128244,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,9.099753175368056,8.417796984328938,0.0,0.0,24.16967483065318,79.39450075832087,12.33682700553198,75.57305810181406,75.63771106640708,21.61785715744265,0.0,5.4731213474032465,0.0,37.36300998111754,37.39273274604294,88.36421328416452,0.0,11.49902366656781,24.1449977264321,5.687386274683562,11.49902366656781,0.0,47.41249346842715,16.520150837723527,12.05914514207297,85.8386987167682,71.36208925981401,2.8236841566564013,0.0,0.0,112.44,201.39563963809397,12.743307321189551,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,50.0540623517333,0.0,-6.900593601499946,0.0,0.0,0.0,291.1840288375236,0.0,0.0,29.29199307480484,-52.99209497749515,0.3448275862068966,39,2,9,0,1,1,3,0,3,6,2,10,13,0,1,1,4,3.074320000000001,149.72669999999982,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL100146,14.957873331139542,-6.8967899792866785,14.957873331139542,1.0360332708483861,0.37380315941991454,509.58399999999983,482.36800000000034,509.1620565840007,188,0,0.2631404473144903,-0.4967671172101785,0.4967671172101785,0.2631404473144903,1.0277777777777777,1.7222222222222223,2.4444444444444446,2.3425347883207057,2530.6537251830946,49.1932697537345,44.19937881974692,18.015875400674645,28.212837271094884,22.416205103626798,10.500806546463616,6.112577099227429,7.836106441017716,3.987965255614313,5.462574781602243,2.4749070408177687,3.588239046614554,-3.7299999999999995,3148081053497.564,8.137612328383709,10.89998971815135,5.251918266871553,247.55339478586342,9.636772684650527,11.767404301633551,1.4118420783282006,17.361670539991724,5.907179729351506,0.0,14.79860818918744,13.890918331732184,4.305215991296234,0.0,48.33934966130636,47.71192142303984,26.781722197350206,44.47470818595051,65.06527376713282,27.525036886794155,0.0,9.77833733869948,0.0,30.156085430842126,18.43472187404901,89.67834618301686,0.0,5.749511833283905,15.109894032053774,5.687386274683562,5.749511833283905,0.0,49.299610866920155,32.482150107196546,0.0,51.76879178897891,83.44692667514062,2.843041735560835,0.0,0.0,116.25000000000003,181.3220395466856,22.119147020983238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.946396774843846,32.99972997130567,0.0,-6.8967899792866785,0.0,0.0,0.0,224.88815152185995,0.0,0.0,28.5515278357129,-28.792889378286212,0.23076923076923078,36,2,9,0,1,1,3,0,3,6,2,10,9,0,0,0,4,2.7395000000000014,132.998,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100280,14.454580853174598,-6.571169834446117,14.454580853174598,0.9848559590772239,0.6587442543591556,434.49399999999974,410.3020000000002,434.13913006791057,162,0,0.26359955133741897,-0.758643596634317,0.758643596634317,0.26359955133741897,1.2333333333333334,1.9666666666666666,2.6,2.768550981052047,1943.4113770899019,42.65181786940711,38.19937881974692,15.015875400674643,23.763137096303637,19.212080958394868,8.704930691695548,4.876807353791857,6.600336695582144,3.168535137000268,4.551857570070668,1.923180279004974,2.888702774292757,-2.6599999999999997,26916946313.931824,6.666901347680244,9.4346823842529,4.565962928767742,209.14674195063182,20.154100279780636,7.161353911612106,0.0,5.907179729351506,10.023291153407584,0.0,13.999662906218534,8.417796984328938,0.0,0.0,12.08483741532659,35.77554503001347,38.803232958762074,55.49286397299662,55.625348946244166,21.61785715744265,0.0,10.373031078253725,0.0,11.39234315983372,44.43068520492553,58.63108696181434,0.0,5.749511833283905,14.515200292499529,5.687386274683562,5.749511833283905,0.0,59.35035565816021,21.257013791523576,5.20725302477729,47.44888695938091,47.192414429160834,1.4118420783282006,0.0,0.0,111.24,146.98726237077662,18.41958719317805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,32.93928887024326,0.0,-6.571169834446117,0.0,0.0,0.0,193.76232306502584,0.0,0.0,27.74534592309145,-22.603165820337882,0.35,30,1,9,0,1,1,2,0,2,7,1,10,9,0,1,1,3,1.5800999999999996,111.95400000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100564,14.584920444372777,-6.6987623845260424,14.584920444372777,1.1469855887068534,0.4518128386429873,476.5309999999998,450.32300000000026,476.14969475191066,178,0,0.322587565168076,-0.758643596634317,0.758643596634317,0.322587565168076,1.1515151515151516,1.9393939393939394,2.606060606060606,2.8131207416158936,2175.7554758716087,46.729168138596734,41.60762711021078,16.424123691138504,25.933857399958665,20.9162051036268,9.409054836927481,5.446944086000178,7.170473427790467,3.6098396377248956,4.993162070795296,2.2062463398335526,3.1717688351213376,-3.1499999999999995,227113023860.63614,7.423850949726181,10.194760464207736,4.945548175048406,228.8480892798044,20.154100279780636,13.179246379961752,0.0,5.907179729351506,10.023291153407584,5.969305287951849,18.794200090290357,8.417796984328938,0.0,0.0,12.08483741532659,55.01825451698817,28.551030702470605,49.41284594604663,63.16140324265645,27.5871624453945,0.0,10.373031078253725,0.0,30.156085430842122,31.853807493659602,58.63108696181434,0.0,5.749511833283905,14.515200292499529,5.687386274683562,5.749511833283905,0.0,58.76067570319577,26.0515509755954,5.20725302477729,62.93625387438014,47.192414429160834,1.4118420783282006,0.0,0.0,128.31,159.14343221847096,23.21412437724987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,35.680805982583706,0.0,-6.6987623845260424,0.0,0.0,0.0,210.33757141989503,0.0,0.0,27.91518657563142,-19.30399561100041,0.36363636363636365,33,1,10,0,1,1,2,0,2,8,1,11,11,0,1,1,3,1.8852999999999998,121.30600000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100777,15.168811414061974,-6.954696281429772,15.168811414061974,0.9458478561606325,0.31372722560921634,574.7030000000017,540.4310000000004,574.2249911880009,214,0,0.34745819566716,-0.758643594704289,0.758643594704289,0.34745819566716,1.0,1.6829268292682926,2.341463414634146,2.2615204955989605,3168.8159827973795,58.71821378011683,53.73834412478301,20.55484070571074,33.27013193025485,27.421866656680898,11.96750279448162,7.379638130318905,9.103167472109194,4.923792769216751,6.307115202287155,3.1449349711934373,4.110457466481224,-3.959999999999999,429352365509524.4,8.543875118771053,11.876375691594708,5.912781053694654,288.00449287744124,20.310171806113107,7.161353911612106,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,13.999662906218532,8.417796984328938,0.0,0.0,36.25451224597977,69.75973385766363,38.803232958762074,74.68126676161013,69.53008955643682,32.39030558637224,0.0,10.373031078253725,0.0,11.39234315983372,51.28226098800709,94.88559920779414,0.0,16.876414816677897,19.408134772632053,5.687386274683562,5.749511833283905,0.0,66.20193144124178,16.520150837723527,5.20725302477729,59.785713964912915,83.44692667514062,2.8236841566564013,21.899351412323583,0.0,106.45000000000002,216.88563629229407,15.48482443352999,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,41.204923729422575,0.0,-6.954696281429772,0.0,0.0,0.0,289.30396945712187,0.0,0.0,28.99033876157288,-53.08961193726497,0.25806451612903225,41,2,9,0,1,1,4,0,4,6,2,10,11,0,1,1,5,2.8984000000000023,160.69769999999966,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL101413,14.270428332598469,-6.311299065150746,14.270428332598469,0.1110133664846309,0.5900493313425753,415.45099999999985,396.2990000000002,415.1081642879105,152,0,0.26359984511111095,-0.7586435966276401,0.7586435966276401,0.26359984511111095,1.2413793103448276,2.0344827586206895,2.6551724137931036,2.7149822426594796,1911.6166487661212,37.383868676975986,32.73834412478301,14.554840705710738,21.527227434424066,16.501046263430965,8.493895996731643,4.782424534818949,6.505953876609237,3.1192842720292795,4.50260670509968,1.9048324220371962,2.8703549173249794,-3.3699999999999997,3947561469.780801,7.150667743184202,8.331020640394948,4.075823789722346,194.49044734064543,19.984336973771942,8.532112467782326,0.0,5.907179729351506,10.023291153407584,0.0,9.099753175368056,13.401775505276145,0.0,0.0,12.08483741532659,35.77554503001347,23.433892990422425,55.175124885446216,44.03469321159299,21.61785715744265,0.0,15.02419951614181,0.0,11.39234315983372,18.31899535046107,77.28024909741009,0.0,5.749511833283905,14.515200292499529,5.687386274683562,5.749511833283905,0.0,37.88983424158384,16.520150837723527,5.20725302477729,40.59509417852979,65.8415765647566,1.4118420783282006,0.0,0.0,116.58999999999999,134.6248249210574,18.41958719317805,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,9.720841474747257,26.08549608939216,0.0,-6.311299065150746,0.0,0.0,0.0,151.4577103559072,0.0,0.0,27.485173159823418,-5.798251117246531,0.15789473684210525,29,1,9,0,0,0,2,1,3,7,1,10,9,0,0,0,3,1.9927,107.18700000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL101864,14.615453356618126,-6.645966445162645,14.615453356618126,1.1373559590772229,0.5175063361357493,527.4410000000006,500.22500000000025,526.0885530640007,174,0,0.3474581956671601,-0.7586435931166196,0.7586435931166196,0.3474581956671601,1.3125,2.03125,2.625,2.809185183770602,2132.85034656734,46.944711088220565,42.11630859779224,17.518801717834666,25.806030315117088,21.11084889318551,9.949483300543587,5.318620366823519,7.835147978171159,3.393283887469059,5.1731054553181375,2.083176089445745,3.445197719512206,-2.18,195350467402.9366,7.158887732107858,10.175257513255252,5.236205363857312,234.29848824410797,20.310171806113107,7.161353911612106,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,13.999662906218532,8.417796984328938,0.0,0.0,15.929943897949348,41.81796373767676,43.275952474594504,65.08595686841862,59.93477966324529,37.547801055392,0.0,10.373031078253725,0.0,11.39234315983372,51.28226098800709,57.06138776998346,0.0,5.749511833283905,19.408134772632053,5.687386274683562,5.749511833283905,15.929943897949348,66.20193144124178,16.520150837723527,5.20725302477729,50.19040407172135,45.622715237329956,2.8236841566564013,0.0,0.0,106.45000000000002,157.16207344215977,18.41958719317805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6668068517494,37.092648060911905,0.0,-6.645966445162645,0.0,0.0,0.0,221.74717071525583,0.0,0.0,26.780003293174367,-35.09666377232354,0.38095238095238093,32,2,9,0,1,1,2,0,2,6,2,11,10,0,1,1,3,0.8407000000000013,125.45570000000008,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL1077203,14.300390317180055,-4.016911848072564,14.300390317180055,0.36155675233056206,0.8913083833221275,372.76299999999986,360.6670000000001,372.05567072391034,132,0,0.34063349160009926,-0.859640710798561,0.859640710798561,0.34063349160009926,1.2307692307692308,1.9230769230769231,2.576923076923077,2.1506192252817082,1490.9049918359924,29.022061357410188,24.322314603909916,13.078243549928374,17.304100887961745,12.752798088454833,7.183548965964103,5.013877776411145,5.391842249420372,3.4225016492390226,3.611483885743636,2.2962883300372536,2.4380250074157135,-2.9299999999999993,103020914.56273313,7.7532985481723244,5.8087408137413075,2.5168401214913483,169.37528826089724,15.316250478979558,11.35614609342924,1.4118420783282006,0.0,5.907179729351506,6.031114512338072,4.794537184071822,14.17735696438231,0.0,0.0,29.7281960132224,35.29657781404717,22.980689834111878,21.575203802188362,35.57620300685979,29.436979476279703,0.0,10.209723084138854,4.992404732635669,12.03578493669929,6.496859684315945,69.82713958352126,0.0,0.0,10.41634074812908,9.184952231746642,0.0,11.600939890232516,29.232809001213614,12.03578493669929,5.817220841045895,36.56323577703524,47.28933568627873,6.434475392069527,0.0,0.0,84.82999999999998,111.5056371438721,19.086016810659167,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,4.992404732635669,28.091126086433132,0.0,5.833324260267473,0.0,0.0,0.0,98.68486556795621,0.0,0.0,14.300390317180055,10.042530965707364,0.16666666666666666,26,1,6,0,2,2,2,0,2,3,1,8,3,0,0,0,4,1.8123999999999996,90.23720000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL1077216,13.620976211472243,-3.9646045918367356,13.620976211472243,0.36883786848072564,0.8148720818916403,352.3299999999998,338.2180000000001,352.1051275079105,132,0,0.34068290693470077,-0.859601994948179,0.859601994948179,0.34068290693470077,1.2692307692307692,2.1153846153846154,2.8846153846153846,2.05773002879345,1529.2994578166793,30.48868116259058,26.369061139355246,12.369061139355244,18.133511589972123,13.677509096909388,6.730295501409429,4.849723313374739,4.849723313374739,3.3539554540288012,3.3539554540288012,2.2369108272234595,2.2369108272234595,-3.49,206605247.62800422,6.671788284618696,5.796390977400258,2.3604427087608775,167.63421093722147,20.053113432779607,11.288437085667251,1.4118420783282006,0.0,5.907179729351506,6.031114512338072,14.76249422596624,9.786941916707491,0.0,0.0,6.042418707663295,17.648288907023584,30.303846942000078,43.22149657907464,38.664168025325466,17.83603958604719,0.0,20.17768012603327,4.992404732635669,12.03578493669929,13.534812143198533,53.466772733676606,0.0,5.749511833283905,15.15320370192913,4.794537184071822,5.749511833283905,0.0,46.23871850199062,12.03578493669929,0.0,39.43522939252715,41.638346488069836,1.4118420783282006,0.0,0.0,119.84,107.93273458619392,14.69560176298435,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,19.697224728330134,19.23170330854106,0.0,0.0,0.0,0.0,0.0,112.52618133079636,0.0,0.0,0.0,21.6404853358703,0.23529411764705882,26,1,9,0,2,2,1,1,2,6,1,9,5,0,0,0,4,-0.18150000000000066,87.41120000000001,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL1078396,13.201687925170065,-3.993536942554802,13.201687925170065,0.23522770219198819,0.6883466614595888,290.2789999999997,276.167,290.1015049280004,110,0,0.32192432141810257,-0.49673960584205984,0.49673960584205984,0.32192432141810257,1.2857142857142858,2.142857142857143,2.8095238095238093,2.500347330634941,1327.1023741684419,27.212660280651686,23.921847543855286,9.921847543855284,15.65731284088154,12.127509096909387,5.285868310409511,3.8802961223748254,3.8802961223748254,2.5158163433664904,2.5158163433664904,1.6004615684530992,1.6004615684530992,-2.77,14762340.632228892,4.618951746656485,4.369197797709202,2.042919271955647,138.44571543696205,10.046676307088426,11.288437085667251,4.235526234984602,0.0,11.466446624403513,6.031114512338072,19.9905942790151,9.476340119217006,0.0,0.0,0.0,24.979148240285564,4.1122756685106605,35.403805524641356,33.639807674800714,22.841219173770632,0.0,20.393136199305015,0.0,18.88767705399497,7.037952458882589,28.481060202113714,0.0,5.749511833283905,20.915756555428807,4.794537184071822,5.749511833283905,0.0,34.28868144568378,11.291396868387768,0.0,21.930236235168096,22.921793307061705,4.235526234984602,10.902924932081056,0.0,105.22000000000001,88.82251024455073,14.383611552215466,0.0,9.773509492728266,0.0,0.0,0.0,0.0,0.0,4.736862953800049,19.31387035285702,0.0,0.0,0.0,0.0,0.0,108.92725555748852,0.0,0.0,-0.37048091458805743,13.943225357099523,0.3076923076923077,21,3,8,0,1,1,1,1,2,5,3,8,5,0,1,1,3,-0.06370000000000003,74.19010000000002,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
