,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL1082462,15.246163345946846,-5.228197869425552,15.246163345946846,0.6408642575733987,0.8125446789003763,324.3999999999995,299.2,324.1961542600007,128,0,0.23721593831648893,-0.3426423500949902,0.3426423500949902,0.23721593831648893,1.2173913043478262,1.9130434782608696,2.5217391304347827,3.063039836307494,1373.4440289871527,39.09385812713468,35.98331543593679,10.983315435936786,20.51877872277387,18.056905302218247,5.609691706718288,3.824945146196402,3.824945146196402,2.178794526401751,2.178794526401751,1.2896174394250455,1.2896174394250455,-1.6800000000000002,1041864762.6858218,3.931381011211949,7.260980050975395,4.6443361038349735,171.33472838165105,15.109632814989332,13.577461581389825,0.0,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,5.261891554738487,0.0,0.0,26.449634037250117,55.95214843473801,27.28749201844548,48.28953684223197,11.814359458703011,5.261891554738487,15.109632814989332,0.0,56.90002859535384,25.98743873726378,0.0,0.0,6.069221312792274,5.309813353288376,4.39041504767482,0.0,0.0,65.30616241311272,9.589074368143644,11.33111286753076,72.09368918799419,0.0,1.4118420783282006,0.0,0.0,76.44,109.81145960630998,14.85096592288213,4.39041504767482,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,34.310047426413476,0.0,0.0,0.0,0.0,0.0,198.6329600650336,0.0,0.0,15.246163345946846,-32.795790077647126,0.8125,23,1,6,0,2,2,0,0,0,4,1,7,7,0,2,2,2,0.8296800000000002,83.13970000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1082653,13.68936487569469,-4.979685374149662,13.68936487569469,0.7872772224907587,0.8082771300309992,292.40299999999945,266.19499999999994,292.20195349209075,116,0,0.34647085317120807,-0.3814383467842897,0.3814383467842897,0.34647085317120807,1.3333333333333333,2.0952380952380953,2.761904761904762,2.4385580865273973,1391.3989422137615,38.06891410075235,36.1581373674276,10.158137367427601,20.04447595927377,18.348440413195586,5.45401322219567,3.716176169881266,3.716176169881266,2.4604819756081384,2.4604819756081384,1.5846471962164221,1.5846471962164221,-1.12,899762680.7506826,3.0910930347310765,6.329689924561732,3.0671394962092076,162.8185784168615,14.939610787220946,8.759409580690086,6.496859684315945,0.0,5.907179729351506,2.8236841566564013,4.794537184071822,0.0,5.261891554738487,0.0,0.0,37.279614976043675,48.212798844580846,26.391683145113223,50.556127745184,5.907179729351506,5.261891554738487,4.899909730850478,11.787915370726157,56.35335237162555,20.03167182751448,0.0,0.0,6.069221312792274,5.30283810257042,0.0,0.0,0.0,48.95456425136573,9.53140013787187,23.119028238256917,71.13575475606159,0.0,2.8236841566564013,0.0,0.0,69.94,104.28286713263861,10.056428738810308,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,4.736862953800049,35.72188950474168,0.0,0.0,0.0,0.0,0.0,213.97467022413377,0.0,0.0,0.0,-42.30800355746706,0.875,21,2,5,2,1,3,0,0,0,3,1,5,5,2,1,3,3,0.26798000000000166,77.17340000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1082707,14.003504978124418,-5.146649777966744,14.003504978124418,0.758730954048449,0.7682766603689201,360.4819999999995,330.2420000000001,360.23940162009086,142,0,0.3464708673737534,-0.33601989108576635,0.3464708673737534,0.33601989108576635,0.9615384615384616,1.5384615384615385,2.1923076923076925,2.0293762944639457,1755.071751431977,45.09385812713468,42.55256455842752,12.552564558427516,23.98608665232276,21.735957054463526,6.841529863463612,4.685598126618318,4.685598126618318,3.1090558083361866,3.1090558083361866,1.994009874022443,1.994009874022443,-1.81,51836293657.40969,3.977380796399887,7.4347235779445775,3.392976983821287,197.09509981813696,20.002567295121853,8.759409580690086,6.496859684315945,0.0,5.907179729351506,8.854798668994473,4.794537184071822,4.794537184071822,5.261891554738487,0.0,0.0,37.279614976043675,78.12835357232376,14.828630893482359,56.096836200136664,11.938294241689578,5.261891554738487,14.699729192551434,11.787915370726157,50.27333434467556,38.981158105895666,0.0,0.0,6.069221312792274,5.30283810257042,4.794537184071822,0.0,0.0,77.65496647683597,4.794537184071822,23.119028238256917,76.61878898074245,0.0,2.8236841566564013,0.0,0.0,84.26,132.98326935810886,14.85096592288213,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,0.0,41.204923729422575,0.0,0.0,0.0,0.0,0.0,251.09497832402445,0.0,0.0,0.0,-47.76164499069114,0.8421052631578947,26,2,7,1,3,4,0,0,0,3,1,7,3,1,3,4,4,-0.009419999999997097,94.91840000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL1082708,14.244859853407863,-5.2086332490411245,14.244859853407863,0.7463127284861653,0.7751025734908191,374.5089999999995,342.2530000000001,374.2550516840909,148,0,0.3464708673737534,-0.33601989108576635,0.3464708673737534,0.33601989108576635,0.9259259259259259,1.5185185185185186,2.185185185185185,2.0457385989885406,1852.258173739563,47.59385812713468,45.05256455842752,13.052564558427516,25.23608665232276,22.985957054463526,7.091529863463612,4.810598126618318,4.810598126618318,3.1715558083361866,3.1715558083361866,2.025259874022443,2.025259874022443,-1.81,170082065692.52713,4.068658297569687,8.05380950747696,3.910476539215646,206.2699829328692,20.002567295121853,8.759409580690086,6.496859684315945,0.0,5.907179729351506,8.854798668994473,4.794537184071822,4.794537184071822,5.261891554738487,0.0,0.0,43.652539877373044,80.86987068466419,14.828630893482359,58.83835331247711,11.938294241689578,5.261891554738487,14.699729192551434,11.787915370726157,56.64625924600494,38.981158105895666,0.0,0.0,6.069221312792274,5.30283810257042,4.794537184071822,0.0,0.0,77.65496647683597,4.794537184071822,23.119028238256917,85.73323099441224,0.0,2.8236841566564013,0.0,0.0,84.26,139.35619425943824,14.85096592288213,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,0.0,43.94644084176302,0.0,0.0,0.0,0.0,0.0,268.82947731145117,0.0,0.0,0.0,-54.24614397811797,0.85,27,2,7,1,3,4,0,0,0,3,1,7,3,1,3,4,4,0.38068000000000257,99.53540000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL1082716,14.100727200346642,-5.169149777966744,14.100727200346642,0.7548247040484495,0.699755028294711,376.48099999999954,346.2410000000001,376.23431624009083,148,0,0.3464708673737534,-0.3777717351176083,0.3777717351176083,0.3464708673737534,1.037037037037037,1.7037037037037037,2.3703703703703702,2.0352867045359266,1776.4987185901773,45.80096490832123,42.96081284889138,12.96081284889138,24.44319343350931,21.894205344927393,6.999778153927475,4.741784344466215,4.741784344466215,3.128101574994691,3.128101574994691,1.9887509332402413,1.9887509332402413,-1.85,75162828997.42508,4.337832931258959,8.028751692361613,3.895592873306049,202.20864504764384,24.739430248921902,8.759409580690086,6.496859684315945,0.0,5.907179729351506,8.854798668994473,4.794537184071822,4.794537184071822,5.261891554738487,0.0,0.0,24.533765173384914,67.16228512296203,38.91266982867671,60.83369915393673,11.938294241689578,5.261891554738487,14.699729192551434,11.787915370726157,37.52748454201681,52.09912859172824,0.0,0.0,6.069221312792274,5.30283810257042,4.794537184071822,0.0,0.0,90.77293696266857,9.53140013787187,23.119028238256917,63.87293917808375,0.0,2.8236841566564013,0.0,0.0,93.49000000000001,133.35539004128267,14.85096592288213,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,4.736862953800049,41.204923729422575,0.0,0.0,0.0,0.0,0.0,251.01258623857427,0.0,0.0,0.0,-44.17925290524107,0.8421052631578947,27,2,8,1,3,4,0,0,0,4,1,8,3,1,3,4,4,-0.7730199999999958,96.50340000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL1082996,15.606928010822141,-5.32986528418505,15.606928010822141,0.9914229347758765,0.7349225401400943,404.91299999999967,378.70500000000015,404.1666839720007,150,0,0.22372143150015683,-0.35271600786434903,0.35271600786434903,0.22372143150015683,1.3214285714285714,2.142857142857143,2.892857142857143,2.4391692836958487,1825.2281236494225,43.187716254269354,39.4668527179461,14.222781663964552,23.57817979953237,20.10146034772294,7.5322112252322135,5.119500191701099,5.497464664710325,3.0476193914195417,3.236601627924155,1.9165560037089713,2.0582926810874316,-2.0599999999999996,29218293825.70069,5.545503526419241,8.126207150619834,5.051424859210309,206.94687135495178,10.209723084138854,7.518485590882198,1.4118420783282006,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,0.0,6.399401534821945,43.30999585900611,29.436204277749745,56.614636513995535,24.851579158197566,49.6602953984022,23.415299348935527,0.0,10.209723084138854,5.41499046939678,63.27295349668321,6.496859684315945,34.7557596360915,0.0,12.319835853677588,5.309813353288376,4.39041504767482,0.0,11.600939890232516,41.3946408452807,9.589074368143644,17.73482632307437,84.92185692122442,24.16967483065318,6.434475392069527,0.0,0.0,49.410000000000004,131.96464582932933,9.589074368143644,4.39041504767482,0.0,0.0,6.399401534821945,5.920434318855644,0.0,0.0,0.0,47.281745872816245,0.0,5.831041968198271,0.0,0.0,0.0,212.2966143087783,0.0,0.0,15.606928010822141,-40.290139843354275,0.5454545454545454,28,1,4,1,1,2,1,0,1,2,1,6,8,1,1,2,3,3.6907000000000023,107.60270000000007,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHEMBL1084601,15.351766533967616,-5.325986985071811,15.351766533967616,0.6337759932735962,0.8122260242432677,350.43799999999953,323.22200000000004,350.21180432400075,138,0,0.23721593831650886,-0.3366722127980661,0.3366722127980661,0.23721593831650886,1.16,1.8,2.36,2.479981800219638,1532.118272128498,42.09385812713468,38.98331543593679,11.983315435936786,22.26877872277387,19.806905302218247,6.359691706718288,4.548551943946381,4.548551943946381,2.826704723026717,2.826704723026717,1.8302203327900288,1.8302203327900288,-1.6800000000000002,7524140034.389434,4.244059422607524,6.909038140524145,3.7887457450524207,185.86872245725067,15.109632814989332,13.577461581389825,0.0,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,5.261891554738487,0.0,0.0,39.195483839908874,54.99421400280541,30.02900913078592,51.031053954572414,11.814359458703011,5.261891554738487,15.109632814989332,0.0,81.68166333471189,12.99371936863189,0.0,0.0,6.069221312792274,5.309813353288376,4.39041504767482,0.0,0.0,64.34822798118012,9.589074368143644,11.33111286753076,87.5810561029933,0.0,1.4118420783282006,0.0,0.0,76.44,121.59937497703615,14.85096592288213,4.39041504767482,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,37.05156453875392,0.0,0.0,0.0,0.0,0.0,219.95645883729537,0.0,0.0,15.351766533967616,-41.724892037929635,0.8333333333333334,25,1,6,0,3,3,0,0,0,4,1,7,7,0,3,3,3,1.36068,90.21570000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1084972,15.2890781257641,-5.300072869425551,15.2890781257641,0.6257283466145607,0.7635747723314408,338.4269999999995,311.211,338.21180432400075,134,0,0.2372159383127841,-0.3533154750414026,0.3533154750414026,0.2372159383127841,1.2916666666666667,2.0,2.625,3.052623899653623,1473.2558588976194,41.59385812713468,38.48331543593679,11.483315435936786,21.80745385736868,19.280512099968227,5.886084908968309,3.976338348446423,3.976338348446423,2.2154458816305027,2.2154458816305027,1.3340640405500557,1.3340640405500557,-1.6800000000000002,3813416296.4658523,4.006704613525899,7.929113273160404,5.165197676091021,180.3576966420263,15.519536437427229,13.577461581389825,1.4118420783282006,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,5.261891554738487,0.0,12.745849802658759,26.449634037250117,48.97632153445575,28.6582505746157,51.0721374767304,11.814359458703011,5.261891554738487,15.519536437427229,0.0,75.66377086636224,12.99371936863189,0.0,0.0,6.069221312792274,10.619626706576751,4.39041504767482,0.0,0.0,53.430425781979984,9.589074368143644,11.33111286753076,86.21029754682309,0.0,2.8236841566564013,0.0,0.0,85.23,115.99138613112439,14.85096592288213,4.39041504767482,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,37.092648060911905,0.0,0.0,0.0,0.0,0.0,215.7342698105464,0.0,0.0,15.2890781257641,-38.69001460297727,0.8235294117647058,24,2,6,1,1,2,0,0,0,4,2,7,8,1,1,2,2,1.2660800000000005,87.72440000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1085074,15.307268788123718,-5.345385369425552,15.307268788123718,0.622750503195908,0.8176479315893198,338.4269999999995,311.211,338.21180432400075,134,0,0.23721593831648893,-0.34264467967051543,0.34264467967051543,0.23721593831648893,1.1666666666666667,1.875,2.5,3.1201103627049473,1467.2558588976194,41.59385812713468,38.48331543593679,11.483315435936786,21.76877872277387,19.306905302218247,5.859691706718288,3.949945146196402,3.949945146196402,2.241294526401751,2.241294526401751,1.3208674394250453,1.3208674394250453,-1.6800000000000002,3412316996.603193,4.006704613525899,7.929113273160404,4.9058123190888026,180.5096114963833,15.109632814989332,13.577461581389825,0.0,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,5.261891554738487,0.0,0.0,32.8225589385795,58.69366554707845,27.28749201844548,51.031053954572414,11.814359458703011,5.261891554738487,15.109632814989332,0.0,63.272953496683215,25.98743873726378,0.0,0.0,6.069221312792274,5.309813353288376,4.39041504767482,0.0,0.0,65.30616241311272,9.589074368143644,11.33111286753076,81.20813120166396,0.0,1.4118420783282006,0.0,0.0,76.44,116.18438450763936,14.85096592288213,4.39041504767482,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,37.05156453875392,0.0,0.0,0.0,0.0,0.0,216.1605165175004,0.0,0.0,15.307268788123718,-39.13445197229085,0.8235294117647058,24,1,6,0,2,2,0,0,0,4,1,7,7,0,2,2,2,1.2197799999999999,87.75670000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1085075,15.274037998766552,-5.230338482615272,15.274037998766552,0.6449395028917757,0.7599632156824501,336.41099999999955,311.211,336.1961542600007,132,0,0.23721593831649937,-0.33861113867674036,0.33861113867674036,0.23721593831649937,1.375,2.1666666666666665,2.875,3.0876881193632797,1478.9073212784665,39.748558665513926,36.48331543593679,11.483315435936786,21.08416286367608,18.306905302218247,5.859691706718288,3.949945146196402,3.949945146196402,2.241294526401751,2.241294526401751,1.3208674394250453,1.3208674394250453,-1.9400000000000002,1802716360.6439338,4.235987880318141,7.753798768778758,4.776527070226092,177.01006746386344,15.109632814989332,13.577461581389825,0.0,11.814359458703011,0.0,0.0,9.589074368143644,4.39041504767482,5.261891554738487,0.0,12.104143492071133,20.076709135920737,50.469114210057114,32.77052624312636,48.28953684223197,11.814359458703011,5.261891554738487,15.109632814989332,0.0,50.52710369402446,25.98743873726378,12.104143492071133,0.0,6.069221312792274,5.309813353288376,4.39041504767482,0.0,0.0,65.30616241311272,9.589074368143644,11.33111286753076,65.72076428666485,12.104143492071133,1.4118420783282006,0.0,0.0,76.44,115.54267819705174,14.85096592288213,4.39041504767482,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,34.310047426413476,0.0,0.0,0.0,0.0,0.0,199.54489924605187,0.0,0.0,15.274037998766552,-31.652270578151736,0.7058823529411765,24,1,6,0,2,2,0,0,0,4,1,7,7,0,1,1,2,0.9957800000000001,87.66270000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
