,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL10085,14.283471586307185,-4.93465347370583,14.283471586307185,0.865248345647808,0.777696739267543,422.5929999999995,386.3050000000002,422.28020381209103,166,0,0.34801359071983423,-0.48883983444881457,0.48883983444881457,0.34801359071983423,0.967741935483871,1.7096774193548387,2.4838709677419355,2.169699682540954,2328.125350767007,53.367360819030935,51.1581373674276,15.158137367427601,29.151329776737835,26.072047210945563,8.124833615445606,5.327924107238121,5.327924107238121,3.335426514090006,3.335426514090006,2.1100437878429807,2.1100437878429807,-2.53,6975252201567.893,4.719362808218767,10.185615120312011,5.588316230099595,236.77758759849533,19.429616895633526,12.24637151759985,0.0,0.0,5.907179729351506,1.4118420783282006,4.794537184071822,0.0,0.0,0.0,24.16967483065318,56.99223376923267,46.05275925074943,63.79925560613157,63.81272616229035,11.594566004035068,0.0,4.899909730850478,0.0,45.39943664984542,43.88106783674614,59.46625264470035,0.0,5.749511833283905,14.529707164783048,5.687386274683562,5.749511833283905,0.0,55.86826559304764,6.496859684315945,0.0,96.72054857200294,48.33934966130636,1.4118420783282006,0.0,0.0,37.220000000000006,175.88367917959394,6.206379262400023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.713412419757795,0.0,0.0,0.0,0.0,0.0,303.1115654331866,0.0,0.0,0.0,-69.19489876651994,0.5,31,1,5,0,2,2,2,0,2,3,1,5,8,0,2,2,4,3.005000000000001,125.0162000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL102490,11.997216195067665,-5.365773168834375,11.997216195067665,0.2349327470102176,0.7317687151106947,359.8799999999998,343.7520000000001,359.0296356319104,120,0,0.12270834162473933,-0.5757681021943815,0.5757681021943815,0.12270834162473933,1.3636363636363635,2.227272727272727,2.9545454545454546,2.610840718130875,1360.573153624502,29.97217330464553,26.31363311632846,12.702555224202365,16.824927500343446,13.093544470582556,7.780855257820192,3.2558492445529725,5.583017163981298,1.7293210227998477,3.0273486180272386,1.0091192228657768,1.9707421480870204,-1.2799999999999996,38562640.57529306,5.663177895055266,7.8238585342967735,5.842072230376449,161.40352540450192,14.768771171540514,13.720339154528395,0.0,0.0,0.0,0.0,0.0,8.417796984328938,0.0,17.0241721526183,17.643358597895812,29.525789240320776,38.67273387038252,20.98935960276934,35.12788035901049,38.6484031962584,0.0,5.309813353288376,0.0,6.496859684315945,19.23976902834869,50.19008331987879,0.0,5.749511833283905,10.046676307088426,5.687386274683562,5.749511833283905,22.937725768167255,27.657566012677627,16.520150837723527,0.0,25.438525536254595,35.56820794798407,6.434475392069527,4.722094864452088,0.0,69.5,97.97461978275477,8.417796984328938,0.0,11.336785877934737,0.0,0.0,0.0,0.0,0.0,4.722094864452088,38.31102326491408,0.0,0.6420713378333722,0.0,0.0,0.0,124.13776034701908,0.0,0.0,23.99443239013533,-17.74648629721001,0.2857142857142857,22,1,5,0,0,0,1,1,2,5,1,8,9,0,0,0,2,3.534900000000002,90.83550000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CHEMBL103857,9.024699074074075,-4.943222080498869,9.024699074074075,0.07793076026707046,0.802778271850921,238.42000000000021,214.22799999999998,238.16239718808998,90,0,0.3478612008323106,-0.3322152719450923,0.3478612008323106,0.3322152719450923,1.375,2.1875,2.9375,3.39511505929812,1131.3939884355782,32.51650785794505,31.85546188596382,8.671958466891548,17.048547388496605,16.02628227921376,4.895565264641526,2.5658720825887893,3.3823686635165156,1.6530376474058173,2.3674721557175777,1.0352552187044985,1.642240164551074,-0.3400000000000001,44340676.41045718,2.0357523731039913,5.830670029303711,2.6654205306188636,137.25253868681443,4.892934480132522,0.0,0.0,0.0,0.0,1.4118420783282006,0.0,0.0,0.0,11.336785877934737,13.703784234591359,36.080759313016024,39.55513389508359,28.606921730173074,37.83222335037579,11.336785877934737,0.0,0.0,0.0,51.586301209587894,12.99371936863189,21.839131802729188,0.0,0.0,4.892934480132522,0.0,0.0,11.336785877934737,19.011611836981537,12.745849802658759,0.0,74.79060441589287,11.398533117330894,1.4118420783282006,0.0,0.0,4.44,91.3120868610815,0.0,0.0,11.336785877934737,0.0,0.0,0.0,0.0,0.0,0.0,32.93928887024326,0.0,-0.07793076026707046,0.0,0.0,0.0,195.6728334698077,0.0,0.0,0.0,-53.09490270954063,0.7142857142857143,16,1,1,1,0,1,0,1,1,1,1,2,7,0,0,0,2,2.3103,71.41070000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CHEMBL1079475,13.809410477600021,-5.593427334973988,13.809410477600021,0.0729461951380661,0.4331135384387169,461.5369999999997,437.34500000000014,461.1729768480907,168,0,0.4159098427929256,-0.3338973239801227,0.4159098427929256,0.3338973239801227,1.125,1.90625,2.625,1.7325346520411908,2122.227513841456,43.541087405397874,39.22542328249129,16.041919863419018,24.785435378618804,20.305690168477412,9.174973153905174,6.061508383234463,6.834905045368437,4.065017947854194,4.715940122849009,2.5601220279032235,3.0074888301029477,-2.4600000000000004,132332852191.76488,7.267394124218676,8.148787866878264,4.011403972809858,221.60642630894614,9.460034127923876,7.674130270136447,10.980840979820634,0.0,0.0,7.588140595771676,0.0,9.967957041894417,13.171245143024459,10.197363616602075,23.846722364717706,24.021213808352964,51.00104235545662,52.48157517978128,51.00346849340028,11.761884949391115,0.0,24.732420306287846,12.869784585645323,29.49357527131972,25.19553593809799,53.94573994964291,0.0,11.387855989696924,4.892934480132522,13.171245143024459,0.0,11.761884949391115,49.92795624438584,18.5671158871225,5.893957685363079,55.40019957796786,47.97527344806963,1.4118420783282006,11.387855989696924,0.0,60.93,149.54731116392654,13.171245143024459,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,20.16532065849649,32.93928887024326,0.0,-0.5875203171533758,0.0,0.0,0.0,202.81765597244504,0.0,0.0,41.501177627938134,-49.89797994989648,0.45454545454545453,32,1,6,1,1,2,1,2,3,6,1,10,8,1,1,2,5,2.629500000000001,114.16270000000003,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CHEMBL1079480,13.835276888774612,-5.608874660428389,13.835276888774612,0.015518474049630582,0.42071273240156265,475.56399999999974,449.3560000000002,475.18862691209074,174,0,0.4159098427929256,-0.3338973239801227,0.4159098427929256,0.3338973239801227,1.121212121212121,1.9696969696969697,2.727272727272727,1.7123386883249812,2244.195511519079,46.041087405397874,41.72542328249129,16.54191986341902,25.996760244023996,21.555690168477412,9.424973153905182,6.283721978734423,7.057118640868397,4.165017947854195,4.815940122849008,2.607482707678221,3.054849509877946,-2.459999999999999,427622037672.28125,7.2711847813026,8.393859486495806,4.377644507445097,230.78130942367838,9.460034127923876,5.693927994848461,10.980840979820634,0.0,0.0,7.588140595771676,4.9839785209472085,4.9839785209472085,13.171245143024459,10.197363616602075,23.846722364717706,30.873105925648645,48.94042281315252,58.78494689374751,53.74498560574072,11.761884949391115,0.0,24.732420306287846,12.869784585645323,36.345467388615404,25.19553593809799,53.33629623052515,0.0,11.518332492848387,4.892934480132522,13.171245143024459,0.0,11.761884949391115,49.92795624438583,18.5671158871225,12.745849802658757,63.83564468515678,41.67190173410341,1.4118420783282006,11.518332492848387,0.0,60.93,155.92023606525598,13.171245143024459,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,20.16532065849649,35.6808059825837,0.0,-0.6309034898669055,0.0,0.0,0.0,218.1884095858257,0.0,0.0,41.52134914037346,-53.99552190299894,0.4782608695652174,33,1,6,1,1,2,1,2,3,6,1,10,9,1,1,2,5,2.937920000000002,118.89970000000004,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CHEMBL1079639,13.828080437564447,-5.609802304986151,13.828080437564447,0.029671907658608276,0.42849997016107555,463.54899999999975,437.34100000000024,463.1773935320907,170,0,0.4159098427929256,-0.4607258397300818,0.4607258397300818,0.4159098427929256,1.15625,2.0,2.75,1.732177120269853,2200.7049694909288,45.33398062421133,41.23924438195524,16.055740962882965,25.5135969964296,21.31951126794136,9.188794253369128,6.1725430781983714,6.945939740332344,4.165277663119661,4.816199838114475,2.6262939811383808,3.0736607833381058,-2.259999999999999,275589257788.0374,6.8830996207312385,7.950957395910047,3.853953921981845,225.1363427258622,13.877185064977223,1.3707585561702202,16.741088398695076,0.0,0.0,7.588140595771676,0.0,0.0,13.171245143024459,10.197363616602075,23.846722364717706,42.478976125008934,42.76752760233774,51.786579766754805,58.16213654279409,11.761884949391115,0.0,14.76446326439343,12.869784585645323,36.345467388615404,25.19553593809799,53.1416626482482,0.0,11.58465191687437,4.892934480132522,13.171245143024459,0.0,11.761884949391115,39.95999920249142,18.5671158871225,12.745849802658757,63.705168182005316,46.02489559203127,1.4118420783282006,11.58465191687437,0.0,48.29,155.791921907005,13.171245143024459,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,10.197363616602075,40.097956919637056,0.0,-0.6537733615810233,0.0,0.0,0.0,218.43729945566352,0.0,0.0,46.42471405398334,-61.624906814732476,0.4782608695652174,32,1,5,1,1,2,1,2,3,5,1,9,9,1,1,2,5,3.740920000000002,115.57570000000003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CHEMBL1079640,13.84770236441954,-5.61583512435252,13.84770236441954,0.021148192617036266,0.4204672554897307,474.57599999999974,447.36000000000024,474.19337794409074,174,0,0.4159098427929256,-0.3338973239801227,0.4159098427929256,0.3338973239801227,1.121212121212121,1.9696969696969697,2.727272727272727,1.725100577707241,2293.99611989125,46.91133089340096,42.77820968699133,16.59470626791906,26.424280598952564,22.108476572977455,9.477759558405223,6.336508383234466,7.109905045368438,4.215017947854195,4.865940122849008,2.64362627649696,3.090993078696685,-2.3899999999999992,638354255684.1141,7.070298128551349,8.433007926738187,4.401734800059462,232.96663194289965,9.460034127923876,0.0,10.980840979820634,0.0,0.0,7.588140595771676,4.9839785209472085,0.0,13.171245143024459,10.197363616602075,23.846722364717706,42.957943340975234,60.197802299697976,48.2888822442545,55.115744161910946,11.761884949391115,0.0,19.74844178534064,12.869784585645323,36.345467388615404,25.19553593809799,59.24823843503698,0.0,11.387855989696924,4.892934480132522,13.171245143024459,0.0,11.761884949391115,44.94397772343863,18.5671158871225,12.745849802658757,65.206403241327,47.58384393861524,1.4118420783282006,11.387855989696924,0.0,48.04,161.7017017666163,13.171245143024459,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,15.181342137549283,37.05156453875392,0.0,-0.6584923031700043,0.0,0.0,0.0,227.18785769080466,0.0,0.0,41.52195890064158,-59.30132428827619,0.4583333333333333,33,1,5,1,1,2,1,2,3,5,1,9,9,1,1,2,5,3.5429200000000014,121.10470000000004,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
CHEMBL1080046,14.113471731824262,-6.22480693366434,14.113471731824262,0.34629958650111803,0.5049773410626947,439.6049999999996,408.3570000000002,439.21622365209095,164,0,0.34796972743101434,-0.32937701544982523,0.34796972743101434,0.32937701544982523,1.1290322580645162,1.903225806451613,2.6129032258064515,2.116719454545706,2465.2355800376895,49.02206135741019,46.01359925339142,15.830095834319149,27.232733682915825,23.353313237400066,9.451735779700833,5.325314965602498,6.866270121557731,3.298204163513874,4.441168305166764,2.023200129438814,2.8061484388915456,-2.6399999999999997,1298324532713.931,5.45916473323593,9.66103888099743,5.5395262232399345,228.02022852617435,4.892934480132522,6.496859684315945,2.8236841566564013,0.0,10.023291153407584,1.4118420783282006,9.806826171317212,8.417796984328938,5.098681808301038,0.0,31.352073141614945,59.64829781606622,42.425992518369966,44.14450918155145,55.92749727221226,15.710677428091145,0.0,10.190388365884118,0.0,50.10885978377629,17.70883898236602,76.89652734206057,0.0,0.0,9.608054093866652,5.687386274683562,0.0,0.0,31.601904718844946,35.63892554171167,0.0,80.36326396266004,59.40772834763889,4.235526234984602,0.0,0.0,79.28999999999999,165.31783801642658,8.417796984328938,0.0,5.091706557583081,0.0,0.0,0.0,0.0,0.0,5.098681808301038,42.616765807750774,0.0,-6.22480693366434,0.0,0.0,0.0,259.5026231203849,0.0,0.0,28.226943463648524,-66.8380929837024,0.375,31,3,6,0,1,1,2,1,3,3,3,7,9,0,0,0,4,2.7368000000000006,122.70090000000006,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL1081488,13.829407479458837,-5.715940789205341,13.829407479458837,0.8391886337868479,0.8816799790296869,356.4119999999995,331.212,356.1944235000907,138,0,0.41598564506801544,-0.33346871259634564,0.41598564506801544,0.33346871259634564,1.08,1.8,2.48,2.5045320719502775,1585.0205818344891,40.19615242270663,36.88378249599142,11.883782495991419,21.54145188432738,18.73074562999554,6.283532034495583,4.180991035752513,4.180991035752513,2.5715815293418705,2.5715815293418705,1.5244116881815688,1.5244116881815688,-1.7600000000000002,3840288934.464711,4.554140533084506,7.639543879654398,4.4515433475535895,180.918994641064,9.792844210982999,0.0,0.0,0.0,0.0,13.619255108109748,4.899909730850478,4.794537184071822,13.171245143024459,0.0,6.042418707663295,43.6189557283074,29.64717409267721,53.483027127684345,57.168764233642335,11.718500787021634,0.0,4.899909730850478,0.0,31.66799812276099,43.88106783674614,29.733126322350174,0.0,0.0,9.792844210982999,23.653168601779846,0.0,0.0,49.91218234908421,6.176298517443475,0.0,63.95335644509987,24.16967483065318,1.4118420783282006,0.0,0.0,27.990000000000002,126.793537279862,17.96578232709628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.310047426413476,0.0,0.0,0.0,0.0,0.0,205.36711503180152,0.0,0.0,41.48822243837651,-59.93867080351142,0.6111111111111112,25,1,4,0,2,2,1,0,1,1,1,7,4,0,2,2,3,2.4063,89.79070000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL1081587,14.799497717625615,-5.93116204927682,14.799497717625615,0.02375806875026365,0.31830709480613817,482.52699999999976,458.3350000000002,482.16322068809063,176,0,0.4187318839870997,-0.4398506952554451,0.4398506952554451,0.4187318839870997,1.2424242424242424,2.121212121212121,2.909090909090909,1.7390402007306287,2183.5016758866077,44.46373713620825,39.56442245046442,16.380919031392153,25.086076641501034,20.455707099945933,9.3249900853737,6.311160531629516,7.084557193763489,4.27105696926295,4.9219791442577625,2.730303904644949,3.177670706844673,-2.399999999999999,189914641442.82214,7.807457279642163,8.121541950113379,4.051652782669322,225.71158510939932,13.877185064977223,7.1879793972161155,17.286375038687357,5.824404497999927,0.0,7.588140595771676,0.0,9.374393568622029,13.171245143024459,10.197363616602075,17.80430365705441,30.873105925648645,42.76752760233774,48.49977601442208,59.81103447812847,11.761884949391115,0.0,19.74844178534064,12.869784585645323,36.345467388615404,25.19553593809799,47.13499908027044,0.0,11.58465191687437,4.892934480132522,17.56166019069928,0.0,11.761884949391115,44.94397772343863,18.5671158871225,18.563070643704652,61.09412757281633,34.070534679856145,1.4118420783282006,11.58465191687437,0.0,61.18,149.78525833902722,17.56166019069928,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,15.181342137549283,37.35643980729661,0.0,-0.6663931103318281,0.0,0.0,0.0,200.83657328741367,0.0,0.0,61.81094033862149,-60.06445384903668,0.5,33,1,6,1,1,2,1,2,3,6,1,11,9,1,1,2,5,3.2750200000000014,113.32870000000004,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
