,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL101253,8.801434683709214,-3.1632412936223364,8.801434683709214,0.040340433498502026,0.5937469094530602,347.8289999999998,331.7010000000001,347.1058006120905,122,0,0.4906162746027308,-0.33479939505103107,0.4906162746027308,0.33479939505103107,1.0,1.72,2.48,2.216117167136761,1741.8292515457294,31.038569215355242,28.16681885500906,12.922747801027514,18.87059746888947,14.625050214004405,7.108587496013716,4.482016225254508,4.859980698263736,2.908639668802219,3.0976219053068323,1.8811890113635796,1.9756801296158863,-2.979999999999999,436421720.62557477,5.782177587082776,6.869554517431664,3.439445936559932,172.66836536665247,5.309813353288376,0.0,1.4118420783282006,11.51179077268349,0.0,1.4118420783282006,4.9839785209472085,0.0,0.0,5.091706557583081,29.7281960132224,47.86038244534006,36.28223314516069,28.20825178983681,27.10601050062256,33.878637371680696,0.0,10.082660329248245,0.0,6.372924901329379,5.309813353288376,89.04999029854926,0.0,0.0,10.401519910871457,11.50524905251859,0.0,11.600939890232516,10.082660329248245,6.372924901329379,0.0,30.44799927292853,72.76997749826248,7.846317470397728,10.772448428929591,0.0,51.95,117.70061268132682,0.0,0.0,10.401519910871457,0.0,0.0,0.0,0.0,0.0,10.082660329248245,33.615243833272,0.0,5.8439124490289975,0.0,0.0,0.0,132.3657927049317,0.0,0.0,0.0,-11.181927376182914,0.05,25,2,4,0,0,0,2,2,4,3,1,5,4,0,0,0,4,4.431700000000003,100.07640000000002,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL104244,13.9207733367674,-4.8611008532158975,13.9207733367674,0.2262484400523963,0.5128471999053458,476.4319999999997,447.2000000000002,475.17744132809094,170,0,0.3474581935381093,-0.3541631334215216,0.3541631334215216,0.3474581935381093,1.15625,1.9375,2.65625,2.0078850535058037,2318.9131695738765,48.15181786940711,44.34745880948206,16.859316701518978,26.772521257536148,22.58061777549076,8.942119530509297,5.555988413792486,6.311917359810939,3.5986684051027695,4.165615114616611,2.266465273251227,2.7872868891175986,-2.1899999999999995,736686410992.3723,6.476360352313159,10.168758978796822,5.066838128734051,238.3805091243329,10.202747833420897,5.647177220767728,1.4118420783282006,5.948339280986494,5.559266895052008,1.4118420783282006,14.261546562713654,4.9839785209472085,4.9839785209472085,0.0,29.24429848812833,37.36996560996459,64.15035521275998,52.027367062136456,44.72709965338488,40.18362049668405,0.0,19.43496642053625,6.975826900282246,12.745849802658759,51.26679835946628,50.74164074807442,0.0,11.126902983393991,15.762014728472906,5.948339280986494,0.0,23.20187978046503,65.39195142671416,6.975826900282246,0.0,49.756330819254735,35.13710722553976,12.868950784139054,22.160304418626513,0.0,67.49000000000001,154.8370665370059,4.794537184071822,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,9.967957041894417,63.03604495371743,0.0,12.348986412209538,0.0,0.0,0.0,239.9375872122543,0.0,0.0,-0.2262484400523963,-44.171436295522646,0.43478260869565216,32,2,7,0,1,1,1,2,3,6,2,9,9,0,1,1,4,2.3247,131.01940000000005,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL105053,8.931911504066989,-3.6352358019398983,8.931911504066989,0.1669297472075253,0.5687776366196636,314.3919999999997,296.24800000000005,314.1531465760005,118,0,0.16810333763901486,-0.36288550495554855,0.36288550495554855,0.16810333763901486,0.9583333333333334,1.6666666666666667,2.4166666666666665,2.1530848188280802,1739.2865004345529,31.961218946165616,29.788854381999833,11.788854381999833,19.20991386636651,15.43328157299975,6.538854381999833,4.391640786499875,4.391640786499875,2.911435688187389,2.911435688187389,1.8743943019561737,1.8743943019561737,-3.1399999999999992,670161656.8448467,4.695418907107143,6.161532072056545,2.7396811963752143,165.56104112616603,10.286816623517627,19.139170268739203,2.8236841566564013,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,60.42418707663295,24.021213808352964,15.824096131708764,21.83532688850743,24.75582105537992,16.85126421306755,0.0,14.94496031212367,0.0,12.869784585645323,5.309813353288376,78.33342898995949,0.0,11.257379486545457,5.309813353288376,5.817862777835028,0.0,0.0,14.94496031212367,0.0,0.0,40.365372976065856,72.76997749826248,2.8236841566564013,22.29078092177798,0.0,53.6,119.31185727521785,0.0,0.0,5.309813353288376,4.977003270229252,0.0,0.0,0.0,0.0,9.967957041894417,24.75582105537992,0.0,0.0,0.0,0.0,0.0,147.51027492049172,0.0,0.0,0.0,-15.010274920491746,0.1,24,2,4,0,0,0,2,2,4,3,2,4,5,0,0,0,4,4.798000000000003,97.80440000000002,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL105436,9.18094022923787,-4.649773036713982,9.18094022923787,0.24925662918959457,0.4054519628305215,418.5209999999997,390.2970000000002,418.22375155609075,160,0,0.3474588959622342,-0.49674546573663364,0.49674546573663364,0.3474588959622342,1.096774193548387,2.032258064516129,2.838709677419355,2.2377781067634377,2325.4805721681196,45.87543250853871,43.05256455842752,15.052564558427518,26.422333379562737,21.821936287909303,8.072047210945565,5.4839060713386845,5.4839060713386845,3.684113576503052,3.684113576503052,2.448476485528609,2.448476485528609,-3.4199999999999995,617114931400.3552,5.678131947382,9.157598634889634,4.375827524422496,220.88285412770242,25.02542224855741,25.738364565571327,8.470861377424129,1.4311996572326342,0.0,1.4118420783282006,0.0,9.967957041894417,0.0,0.0,24.16967483065318,35.29657781404717,26.538174990865137,61.24177818043655,51.87233720810969,16.85126421306755,1.4311996572326342,14.53505668968577,0.0,6.372924901329379,39.28620094643929,66.37906807778434,0.0,22.56380109136146,15.349514409658845,5.817862777835028,5.749511833283905,0.0,54.64154850873862,6.372924901329379,0.0,38.461656839782286,60.815616586087344,4.235526234984602,27.847690693310074,0.0,90.63000000000001,150.6264767343883,1.3707585561702202,0.0,5.719716975726273,4.567099647791355,0.0,0.0,0.0,0.0,15.07676523300163,41.931035637932354,0.0,0.0,0.0,0.0,0.0,229.95736467753443,0.0,0.0,0.3606718341032469,-34.31803651163771,0.25,31,4,7,0,0,0,2,2,4,6,3,7,12,0,0,0,4,1.7277999999999993,122.67590000000003,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1077305,9.776340014239786,-5.37401000019896,9.776340014239786,0.09136976412092368,0.29159481121512504,551.7190000000018,512.4070000000003,551.3241342880912,212,0,0.34738185071174055,-0.496463572087117,0.496463572087117,0.34738185071174055,1.0,1.853658536585366,2.682926829268293,1.598199509032134,3389.1582093140623,62.159889558914884,58.985957054463526,19.985957054463526,35.41133303630503,30.50120463871337,11.212350256713545,7.939467790847641,7.939467790847641,5.493239420277212,5.493239420277212,3.709524915086318,3.709524915086318,-3.98,7808563464226028.0,7.139771312044614,10.77816064586971,4.92320442420099,294.7211313426258,20.3265176798881,30.759837374103764,9.88270345575233,0.0,0.0,1.4118420783282006,0.0,19.63373849798681,5.098681808301038,0.0,24.16967483065318,68.1527209016923,39.4319647834469,74.11867085690764,63.25371521320312,27.884665648300075,0.0,29.7094235765171,11.787915370726157,50.628366777655295,32.727215703523,59.988158657306215,0.0,17.00689131982936,15.349514409658843,5.817862777835028,5.749511833283905,0.0,56.71692230431383,6.372924901329379,11.787915370726157,103.61984733198045,48.60030266760929,5.6473683133128025,33.3241823570105,0.0,111.97,209.59795089261786,16.44910267404264,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,20.05061737114266,41.91167805902792,0.0,0.0,0.0,0.0,0.0,340.5677279929831,0.0,0.0,-0.44134750059190253,-74.62638049239132,0.4375,41,4,9,1,1,2,2,3,5,7,3,9,9,1,1,2,7,4.207200000000002,160.96279999999967,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,5,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1080812,14.206299243742725,-4.812289680336412,14.206299243742725,0.1156900368282554,0.2661774335556014,523.0170000000004,493.78500000000037,522.2014918880908,192,0,0.3478059283811203,-0.48573607307126554,0.48573607307126554,0.3478059283811203,1.2702702702702702,2.1621621621621623,3.027027027027027,1.7155784468554038,2636.462226095971,51.159889558914884,46.73320451290053,18.489133458918978,29.473480527348716,23.855345715413826,9.944455806423225,6.3300474833496105,6.708011956358838,4.06663975635832,4.33277366784398,2.559617644020988,2.7349423125002437,-3.7299999999999995,15638157998595.295,7.888906167568471,11.549142173924455,5.988029072801775,259.8702697288375,29.963290364538622,30.996144439680542,10.05338901281963,0.0,5.907179729351506,1.4118420783282006,9.77851570501903,0.0,5.098681808301038,5.098681808301038,17.643358597895812,42.627437147309145,21.358781368473778,78.6745353272301,59.07752978937278,39.916293604183664,0.0,25.46815876106691,0.0,13.410877360211968,44.41522257638473,70.57424346274453,0.0,5.749511833283905,20.249424140509323,11.50524905251859,5.749511833283905,11.600939890232516,65.17093436022638,11.295848196716339,6.851892117295679,56.01480856972129,48.60030266760929,10.670001627054129,10.902924932081056,0.0,118.49,167.35814342670884,4.794537184071822,0.0,10.286816623517627,0.0,0.0,0.0,0.0,0.0,19.918205091349332,56.254135061600905,0.0,6.291919747473222,0.0,0.0,0.0,240.38214138551982,0.0,0.0,0.0,-27.062950021882035,0.3076923076923077,37,4,10,0,1,1,1,3,4,7,4,11,10,0,1,1,5,2.2822199999999997,140.64529999999988,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1081849,14.623075093581523,-5.137013254690135,14.623075093581523,0.1973762983205276,0.21982907800397614,567.0890000000016,532.8170000000003,566.244105648091,210,0,0.3476938675005878,-0.4873439231471596,0.4873439231471596,0.3476938675005878,1.225,2.1,2.925,1.7154691128061637,2908.66101264388,57.90037653492104,53.20292069544588,19.95884964146434,32.80991950487518,27.10968645920455,10.69879655021395,6.949646900881317,7.327611373890544,4.391570898363851,4.657704809849512,2.75502561559166,2.9303502840709155,-3.729999999999999,361333885331704.0,8.179591728504741,12.629300656441028,6.695389919526058,285.21718232114654,25.226427410738573,23.81964591209455,10.05338901281963,0.0,5.907179729351506,1.4118420783282006,9.694446914922299,4.39041504767482,5.098681808301038,5.098681808301038,23.685777305559107,55.16671553928839,56.127734229808695,58.13494519384375,65.58487466409866,39.916293604183664,0.0,25.38408997097018,0.0,19.783802261541346,51.26679835946628,76.1305112974875,0.0,5.749511833283905,20.249424140509323,15.89566410019341,5.749511833283905,11.600939890232516,71.93844135321122,6.558985242916289,12.669112958341575,69.11104974875032,48.46982616445783,10.670001627054129,10.902924932081056,0.0,99.61,191.03882167671324,9.184952231746642,0.0,10.286816623517627,0.0,0.0,0.0,0.0,0.0,10.197363616602075,63.10792784245202,0.0,6.2766052975797955,0.0,0.0,0.0,284.00844877033023,0.0,0.0,14.623075093581523,-52.63035138371376,0.3448275862068966,40,4,9,0,1,1,2,2,4,6,4,11,12,0,1,1,5,3.331620000000002,154.1032999999998,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1082012,14.604793668288169,-4.7896522303027185,14.604793668288169,0.1738744037885689,0.25478378155416026,553.0620000000016,520.8060000000004,552.228455584091,204,0,0.34745819360073915,-0.4873439231471596,0.4873439231471596,0.34745819360073915,1.2307692307692308,2.1025641025641026,2.923076923076923,1.714915548471748,2800.4875865825616,55.40037653492104,50.70292069544588,19.45884964146434,31.55991950487518,25.85968645920455,10.44879655021395,6.824646900881317,7.202611373890544,4.329767499488861,4.5959014109745215,2.7211730664354175,2.8964977349146728,-3.729999999999999,109692801627709.73,8.1549283743009,11.980249861913522,6.469715560072171,276.0422992064141,25.226427410738573,23.81964591209455,10.05338901281963,0.0,5.907179729351506,1.4118420783282006,9.694446914922299,4.39041504767482,5.098681808301038,5.098681808301038,23.685777305559107,48.19088863900615,49.39787623194414,62.72618807832072,62.843357551758224,39.916293604183664,0.0,25.38408997097018,0.0,13.410877360211968,51.26679835946628,76.1305112974875,0.0,5.749511833283905,20.249424140509323,15.89566410019341,5.749511833283905,11.600939890232516,71.93844135321122,6.558985242916289,12.669112958341575,59.996607735080495,48.46982616445783,10.670001627054129,10.902924932081056,0.0,99.61,184.66589677538386,9.184952231746642,0.0,10.286816623517627,0.0,0.0,0.0,0.0,0.0,10.197363616602075,60.366410730111575,0.0,6.275224935352567,0.0,0.0,0.0,266.205917412815,0.0,0.0,14.604793668288169,-46.058158238678025,0.32142857142857145,39,4,9,0,1,1,2,2,4,6,4,11,11,0,1,1,5,2.9415200000000015,149.48629999999986,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL1090357,15.143680765690384,-4.428761009451508,15.143680765690384,0.1162025775780946,0.20580886643216034,596.6870000000015,568.4630000000004,596.2038623760908,216,0,0.347156127410337,-0.3395332457454016,0.347156127410337,0.3395332457454016,0.9302325581395349,1.697674418604651,2.488372093023256,1.6016561991747942,3193.8454657217494,54.2262854696246,48.70292069544589,21.519417276373616,32.26833350876491,25.159686459204558,12.134542253632414,7.778096941484444,8.551493603618418,5.08832737032954,5.738112000450674,3.3766225851162566,3.969988689080189,-4.999999999999999,340623756537167.1,10.319777821860741,12.081632653061224,6.128312601406165,289.7674529689296,15.512561186709274,22.891821168637247,7.784557079428434,5.948339280986494,5.907179729351506,1.4118420783282006,9.195231790333615,23.73276565819127,0.0,11.336785877934737,30.212093538316473,47.86038244534006,43.75457088603107,63.36381626649249,56.97279189879413,39.52795036041189,0.0,19.35263016910342,0.0,6.372924901329379,31.06814019145719,112.97227398874244,0.0,22.645235476242377,15.512561186709274,26.10394192570326,0.0,11.336785877934737,45.70832338333536,6.372924901329379,11.63444168209179,50.19040407172135,90.21092932325669,4.235526234984602,27.60610839901441,0.0,88.65,195.87198724432074,4.794537184071822,8.78083009534964,10.270686276060408,11.336785877934737,4.400694606261793,0.0,0.0,0.0,14.951935562841626,38.504490139240104,0.0,0.4412743529522636,0.0,0.0,0.0,232.41430137039333,0.0,0.0,31.026637460632134,-30.88221318397768,0.125,43,3,8,0,0,0,3,3,6,7,3,11,11,0,0,0,6,5.4809000000000045,164.94859999999971,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CHEMBL1090360,13.892152008721185,-3.8073459488218084,13.892152008721185,0.08500006107820468,0.21634026397222691,587.7090000000013,558.4770000000002,587.2103441680009,214,0,0.22829402455785014,-0.37777781989763004,0.37777781989763004,0.22829402455785014,0.9069767441860465,1.697674418604651,2.5813953488372094,1.4697758955867077,3288.524103706451,54.51074252000077,49.8552400398913,21.671736620819022,32.8414656937359,25.992756681159232,12.414826071087044,7.791728882948076,8.56512554508205,5.1575823414230975,5.807366971544233,3.4760920296226243,4.069458133586558,-5.059999999999999,731162678615703.2,9.731047462563554,12.044799068703135,5.966277109052836,293.25595222138094,20.256399391227276,5.693927994848461,7.784557079428434,11.855519010338,0.0,0.0,9.195231790333615,14.951935562841626,0.0,11.336785877934737,48.33934966130636,41.81796373767676,56.06275162801714,65.14771528111446,49.36556531112424,45.215336635095454,0.0,19.352630169103417,0.0,6.372924901329379,41.63122629189169,107.85921823028025,0.0,22.64523547624238,15.519536437427229,23.01049810503718,0.0,11.336785877934737,51.371499752919384,15.90432503920125,0.0,42.573932508292955,102.29576673858327,2.8236841566564013,27.606108399014413,0.0,96.68,197.2165596499936,6.165295740242042,0.0,15.170596006910886,11.336785877934737,4.400694606261793,0.0,0.0,0.0,19.688798516641675,38.46340661708213,0.0,0.461706166457317,0.0,0.0,0.0,245.9955437398197,0.0,0.0,0.7667521906848551,-19.974002096961836,0.15151515151515152,43,2,9,0,1,1,3,3,6,9,2,10,8,0,1,1,7,6.2812000000000054,171.06339999999963,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
