,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100302,14.303690978534053,-4.478943286162203,14.303690978534053,0.6133141606048569,0.4867879568356431,497.98199999999986,473.7900000000003,497.1506193080007,180,0,0.261532261480726,-0.3405049063111126,0.3405049063111126,0.261532261480726,0.8611111111111112,1.5277777777777777,2.25,1.7320166261101877,2513.69092210184,46.06351324173757,41.444350130900695,18.20027907691915,26.958801426341,21.84020905420024,10.218173527209467,7.057884115104926,7.435848588114153,4.99656427407045,5.185546510575063,3.4178552214481224,3.559591898826582,-3.7699999999999987,1644298082786.0613,8.384472702062402,9.026348797235917,3.819752267485944,247.4642402640061,4.899909730850478,6.496859684315945,0.0,5.907179729351506,11.814359458703011,0.0,24.26749980401315,0.0,0.0,0.0,41.34371925095496,72.39414761872499,46.21145509729992,33.26993365228509,47.281816900300775,34.895583608356304,0.0,14.783797982648164,0.0,25.491699605317518,19.490579052947837,104.66158687692845,0.0,0.0,0.0,0.0,0.0,11.600939890232516,51.99591622365052,17.54038698673058,0.0,88.74431497222106,66.12776810985368,5.022633313741326,5.573104530069267,0.0,70.58000000000001,182.7383287150186,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,44.49914523831782,0.0,6.104140007693671,0.0,0.0,0.0,208.07666496843333,0.0,0.0,0.0,-16.65302719834924,0.2413793103448276,36,0,6,1,2,3,2,1,3,4,0,7,2,0,1,1,6,4.5541000000000045,136.7419999999999,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100566,14.326916104340365,-4.176469575006058,14.326916104340365,0.12599574988359796,0.5154707299380428,422.49199999999973,400.31600000000014,422.1855093240007,158,0,0.24371463166136534,-0.32892981196422905,0.32892981196422905,0.24371463166136534,1.125,2.0,2.84375,1.7889027113010072,2342.802177192799,41.323026265731414,37.59152986346361,15.591529863463613,24.518644610990993,19.558226111481616,8.61101251598166,5.851630738533241,5.851630738533241,3.9313245548715767,3.9313245548715767,2.512090848415149,2.512090848415149,-4.02,141785829514.19586,6.989817558985041,8.613552496773659,3.8394109644362477,216.46565285136398,14.77682273193021,2.782600634498421,0.0,5.907179729351506,0.0,0.0,9.77851570501903,4.9839785209472085,5.261891554738487,0.0,18.127256122989884,48.19088863900615,45.447145026063495,60.04257176033655,34.99230894197464,22.497490936116122,5.261891554738487,19.844870042974147,0.0,25.384536738310914,11.396769415166423,89.85176148280786,0.0,6.069221312792274,10.209723084138854,5.687386274683562,0.0,0.0,32.956988571702865,17.788256552703714,11.33111286753076,51.979685559146496,73.03093050456542,1.4118420783282006,10.902924932081056,0.0,86.84,149.54046219483925,10.056428738810308,0.0,9.467009378641833,0.0,0.0,6.069221312792274,0.0,0.0,9.967957041894417,30.197771757902814,0.0,0.0,0.0,0.0,0.0,186.3489569602607,0.0,0.0,-0.12599574988359796,-10.8062945437104,0.2,32,1,7,0,1,1,2,2,4,6,1,7,6,0,1,1,5,3.246380000000001,121.82670000000003,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100798,15.168112013259485,-5.398109235608338,15.168112013259485,0.5160451072004975,0.39818292228319946,533.0760000000009,499.81200000000035,532.235351976001,198,0,0.23981127436898186,-0.37879272423067833,0.37879272423067833,0.23981127436898186,1.0789473684210527,1.8421052631578947,2.6315789473684212,2.028705481927515,2721.756494909486,55.66832572735216,51.3777426269367,19.133671572955155,31.403271747106107,26.405456638450097,10.28342111145932,6.544012788385708,6.921977261394935,4.137566538094872,4.326548774599486,2.5497493966034304,2.69148607398189,-3.2199999999999998,83142835157423.98,7.702681848603838,12.54977524094762,6.6083892853068,274.89633946872453,14.203872332441883,1.3707585561702202,0.0,5.907179729351506,0.0,0.0,14.594356645772777,4.9839785209472085,5.261891554738487,0.0,35.770614720885696,41.669502715376545,82.36102578546667,67.43948947855017,54.76643249148918,17.508119619584022,5.261891554738487,24.250807361289997,0.0,31.881396422626857,45.602268907412295,88.22253236976812,0.0,6.069221312792274,0.0,0.0,0.0,11.600939890232516,81.77814846640345,29.021979190819707,11.33111286753076,73.99223972488613,60.815616586087344,5.022633313741326,0.0,0.0,77.63000000000001,190.88020626950168,12.115684335589586,4.794537184071822,0.0,0.0,0.0,6.069221312792274,0.0,0.0,9.720841474747257,49.982179462998715,0.0,5.943988175902167,0.0,0.0,0.0,287.0449121881444,0.0,0.0,-0.5160451072004975,-51.695077479068274,0.41379310344827586,38,0,8,0,2,2,2,1,3,7,0,9,10,0,2,2,5,3.3917800000000016,145.4289999999998,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101708,15.116877419113184,-5.137071072549521,15.116877419113184,0.428587650452366,0.4035585645491708,476.6039999999997,446.36400000000026,476.24448700009094,180,0,0.34891301100413297,-0.33296750776538997,0.34891301100413297,0.33296750776538997,0.9166666666666666,1.5277777777777777,2.2222222222222223,2.049852135651081,2745.9831274003955,51.27062002292412,47.64431626796365,17.644316267963653,29.63954063889362,24.584619313731636,9.63740571823168,6.37802394078326,6.37802394078326,4.076119456559094,4.076119456559094,2.55028744954016,2.55028744954016,-4.209999999999999,18724428314213.938,6.962899598715353,11.022153191627368,5.535169773992674,253.80105426147733,14.359943858774354,15.735236480972329,6.017892468349645,0.0,5.907179729351506,1.4118420783282006,4.794537184071822,4.9839785209472085,5.261891554738487,0.0,72.50902449195954,23.21174039872058,36.9099896706551,61.330314516033845,50.85131187146896,5.907179729351506,5.261891554738487,14.450987899589041,0.0,38.3782561069428,6.496859684315945,125.01786279370359,0.0,6.069221312792274,4.892934480132522,0.0,0.0,0.0,32.872919781606136,30.7819759213356,11.33111286753076,74.07265699190224,97.07012883206713,1.4118420783282006,0.0,0.0,66.36,190.16010217308826,13.527526413917785,4.794537184071822,0.0,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,32.89820534808528,0.0,0.0,0.0,0.0,0.0,261.9164774772289,0.0,0.0,-0.428587650452366,-42.07122316010996,0.23333333333333334,36,1,6,0,1,1,3,1,4,4,1,6,9,0,1,1,5,3.189280000000001,137.5626999999999,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL101788,15.221169864499155,-5.495614904542579,15.221169864499155,0.5456318840600014,0.4312027341191385,533.1000000000008,497.82000000000033,532.258612840091,198,0,0.34588349571930277,-0.34413201804014126,0.34588349571930277,0.34413201804014126,1.105263157894737,1.868421052631579,2.6578947368421053,2.044417432534774,2803.8385260765817,57.461218946165616,53.416707931972795,19.172636877991252,32.19616496591956,27.338849134486104,10.322386416495416,6.573236767162779,6.951201240172005,4.156020771436368,4.345003007940981,2.5652540887918946,2.7069907661703545,-3.2199999999999998,187372726767479.5,7.290739253159794,12.54977524094762,6.6083892853068,278.2587106876381,14.769847481212253,1.3707585561702202,0.0,5.907179729351506,0.0,2.8236841566564013,14.594356645772777,4.9839785209472085,5.261891554738487,0.0,35.770614720885696,41.669502715376545,82.36102578546667,67.31523836134949,58.15609179691595,17.508119619584022,5.261891554738487,24.250807361289997,0.0,31.881396422626857,45.47801779021161,88.22253236976812,0.0,6.069221312792274,5.30283810257042,0.0,0.0,11.600939890232516,81.65389734920277,24.285116237019658,11.33111286753076,73.99223972488613,60.815616586087344,7.846317470397728,0.0,0.0,85.01,196.0587932548714,12.115684335589586,4.794537184071822,0.0,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,52.80586361965511,0.0,5.9459326203466105,0.0,0.0,0.0,305.1428360859484,0.0,0.0,-0.5456318840600014,-61.76535904445728,0.41379310344827586,38,2,8,0,2,2,2,1,3,6,1,9,10,0,2,2,5,1.9385800000000015,146.26939999999985,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL101889,14.81646641941645,-3.44500896740409,14.81646641941645,0.03936901825362038,0.25367044454236515,469.54399999999987,446.3600000000003,469.1790269760007,174,0,0.19468059372701105,-0.45738381324488653,0.45738381324488653,0.19468059372701105,0.75,1.3888888888888888,2.111111111111111,1.7535642795894835,2817.270299123304,44.38942217644113,40.6581373674276,17.6581373674276,27.245382686550194,21.374833615445603,9.927620019945646,6.794271895936643,6.794271895936643,4.588397927258215,4.588397927258215,3.0805379077869377,3.0805379077869377,-4.899999999999999,2766121505195.1313,8.067118165603054,9.390247236047612,4.300023953843938,240.56671447950052,14.280965871820657,12.86978222273803,7.19508702469314,0.0,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,60.42418707663295,52.590412166606356,35.209040107535266,47.28008907270528,41.09993045194492,16.55569337529453,0.0,14.528081438967815,0.0,6.496859684315945,0.0,138.32158764726572,0.0,22.6259266499618,4.736862953800049,0.0,11.49902366656781,0.0,20.311326385332755,6.496859684315945,0.0,51.772056398059156,121.50075666902327,1.4118420783282006,21.899351412323583,0.0,59.910000000000004,184.00006735683797,6.165295740242042,0.0,9.544102918020606,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,34.93463471170287,0.0,0.0,0.0,0.0,0.0,194.6014416134388,0.0,0.0,0.07997840850550686,-10.931420021944318,0.03225806451612903,36,1,5,0,0,0,4,2,6,4,1,5,7,0,0,0,6,7.103000000000007,141.45419999999984,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101978,13.955150169343959,-4.426104165929205,13.955150169343959,0.2595736250891343,0.6761295216393907,386.4789999999997,362.28700000000015,386.19753680809066,146,0,0.31097627575108633,-0.3110020932134023,0.3110020932134023,0.31097627575108633,1.2413793103448276,2.0,2.7586206896551726,2.0173978604747513,2082.460814327765,41.25411216497906,38.14431626796365,14.144316267963655,23.8023181158022,19.558226111481616,7.663798920481701,5.029417143033284,5.029417143033284,3.240012658809116,3.240012658809116,1.9730332009464229,1.9730332009464229,-3.4299999999999997,55419837154.10352,5.585538979540817,8.717505318259231,4.361390586668522,203.79728008565283,10.209723084138854,21.146283524477585,1.3707585561702202,12.210551443317733,0.0,1.4118420783282006,4.794537184071822,9.544102918020606,5.261891554738487,0.0,30.212093538316473,36.10605122367956,36.0200989940066,34.09966794688155,42.75191284670233,11.594566004035068,5.261891554738487,9.87691300107973,0.0,25.260601955324347,17.893629099482368,83.67886627199309,0.0,6.069221312792274,15.186726354368107,5.687386274683562,0.0,0.0,29.485891214124397,17.664321769717148,11.33111286753076,53.35044411531672,66.85803529375065,2.8236841566564013,0.0,0.0,75.2,143.7374766841233,10.056428738810308,0.0,9.544102918020606,0.0,0.0,6.069221312792274,0.0,0.0,0.0,32.980372392401236,0.0,0.0,0.0,0.0,0.0,200.89142055009302,0.0,0.0,-0.2595736250891343,-22.96518025833722,0.2608695652173913,29,2,6,0,1,1,2,1,3,4,1,6,7,0,1,1,4,2.1597799999999996,110.15340000000003,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL102031,13.795683741024668,-4.062610684227524,13.795683741024668,0.10401034888498817,0.7159543593523094,372.4319999999998,352.27200000000016,372.1698592600006,140,0,0.2448551349040256,-0.3289298119641865,0.3289298119641865,0.2448551349040256,1.2142857142857142,2.0714285714285716,2.892857142857143,1.9862135876322344,1908.6201493887354,37.01362518897291,33.59152986346361,13.591529863463611,21.69727740594507,17.308226111481616,7.36101251598166,4.853023940783263,4.853023940783263,3.127512658809116,3.127512658809116,1.9025704433652448,1.9025704433652448,-3.5,7256631668.214328,5.996731301939058,8.026227019733513,3.773469387755102,190.97404731929313,9.87691300107973,8.600463412333449,0.0,5.907179729351506,0.0,0.0,9.694446914922299,9.967957041894417,5.261891554738487,0.0,18.127256122989884,36.10605122367956,40.0609208115987,46.09696765569627,32.250791829634196,11.725042507186533,5.261891554738487,19.844870042974147,0.0,25.384536738310914,11.396769415166423,77.76692406748128,0.0,6.069221312792274,10.209723084138854,5.817862777835028,0.0,0.0,32.956988571702865,17.788256552703714,11.33111286753076,49.23816844680605,60.946093089238815,1.4118420783282006,0.0,0.0,86.84,126.68317635058304,10.056428738810308,0.0,9.467009378641833,0.0,0.0,6.069221312792274,0.0,0.0,9.967957041894417,27.456254645562378,0.0,0.0,0.0,0.0,0.0,166.07699884476645,0.0,0.0,-0.10401034888498817,-7.222988495881422,0.23809523809523808,28,1,7,0,1,1,1,2,3,6,1,7,6,0,1,1,4,2.0931799999999994,104.32070000000002,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL102107,14.267980909664779,-4.885594201198234,14.267980909664779,0.3917545356960632,0.5693944374044391,415.54099999999966,386.3090000000002,415.23611338818085,158,0,0.34648431960382037,-0.33696451763499363,0.34648431960382037,0.33696451763499363,1.1612903225806452,1.903225806451613,2.6774193548387095,2.040937369976837,2340.535110132592,47.17676189578944,44.14431626796365,15.144316267963655,26.641634513279243,22.505439706981573,8.163798920481701,5.292613744158295,5.292613744158295,3.3223075604966312,3.3223075604966312,1.9634080288420515,1.9634080288420515,-3.4299999999999997,808796371483.6383,5.484848986704531,10.052937012377255,5.386342431502306,223.61007344752343,10.202747833420897,21.105200002319606,7.3886510245198656,6.303371713966227,5.907179729351506,4.235526234984602,4.794537184071822,9.544102918020606,5.261891554738487,0.0,42.29693095364306,29.58466530004996,33.074229831663466,42.322318620347474,54.94962725228185,5.907179729351506,5.261891554738487,9.467009378641833,0.0,31.63352685665373,19.490579052947837,89.2423177636901,0.0,6.069221312792274,10.279841372799673,0.0,0.0,0.0,40.88266062929081,24.037246671046525,11.33111286753076,64.39692983169462,66.85803529375065,4.235526234984602,0.0,0.0,79.78,166.02045415408472,10.056428738810308,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,39.87524869541033,0.0,0.0,0.0,0.0,0.0,244.87074276955892,0.0,0.0,-0.3917545356960632,-39.81232156719622,0.32,31,3,6,0,1,1,2,1,3,3,1,6,9,0,1,1,4,1.1716800000000018,116.87410000000003,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL102293,15.055600641878456,-5.116778073180253,15.055600641878456,0.2673467348458676,0.5668015111844626,471.6049999999996,438.34100000000024,471.26342529600106,182,0,0.23245595033733216,-0.4559628920094376,0.4559628920094376,0.23245595033733216,1.1142857142857143,2.057142857142857,2.8285714285714287,2.4396913997407124,2616.584467311626,53.59097545816254,50.05256455842752,17.052564558427516,30.069285873873216,25.492867604195496,9.098440413195583,6.5925139106131505,6.5925139106131505,4.502595216800711,4.502595216800711,2.7788613337907804,2.7788613337907804,-3.63,17148158463641.266,6.3748652296423245,9.551850954101539,4.419446700046063,253.17029890205762,19.923589308168154,21.762687692186702,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.9839785209472085,5.261891554738487,0.0,31.352073141614945,61.26724463533098,50.60520172062532,45.65363058246836,54.84859953580513,5.907179729351506,5.261891554738487,14.450987899589041,12.695543876008518,50.149399561688995,13.47268658459819,77.15748034836349,0.0,17.568244979360085,10.456579929526322,0.0,11.49902366656781,0.0,33.830854213538736,22.72427980613419,11.33111286753076,104.07328155112502,54.77319787842405,2.8236841566564013,0.0,0.0,97.17,175.78122349742898,6.632650110908707,4.794537184071822,4.567099647791355,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,48.68330379556308,0.0,0.0,0.0,0.0,0.0,280.08213272145775,0.0,0.0,-0.2673467348458676,-46.39811931994527,0.39285714285714285,35,2,7,0,1,1,2,1,3,6,1,7,11,0,1,1,4,4.5963800000000035,134.97940000000003,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
