,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100847,14.05575327275972,-4.1808658034968555,14.05575327275972,0.10338112830965418,0.6792385740482881,374.48799999999966,348.28000000000014,374.21066145200075,144,0,0.32038969480315116,-0.3310090772228699,0.3310090772228699,0.32038969480315116,1.0357142857142858,1.7142857142857142,2.4642857142857144,2.1775901773928754,2015.1084502905383,42.17676189578944,39.69710267246369,13.697102672463695,24.06008395210545,20.363798920481702,7.469371729481785,5.287411573459941,5.287411573459941,3.3238373429049344,3.3238373429049344,2.143624218755037,2.143624218755037,-3.0799999999999996,64643098532.33801,4.90422765015101,7.150688406852749,3.6511918706889563,201.97312348632917,5.309813353288376,5.817862777835028,2.8236841566564013,0.0,0.0,6.031114512338072,5.309813353288376,9.476340119217006,5.098681808301038,0.0,62.8526073055301,35.95759020137934,29.27727040727293,32.47755085575409,40.51642668881352,11.8489772901731,0.0,15.0902980967346,0.0,44.73440909229222,5.309813353288376,77.2450180548754,0.0,5.687386274683562,10.619626706576751,10.61239996190685,0.0,0.0,15.811599255784294,11.787915370726159,0.0,82.66553004789377,60.42418707663295,2.8236841566564013,5.687386274683562,0.0,58.95,150.1354174186011,4.794537184071822,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,5.098681808301038,35.72188950474168,0.0,0.0,0.0,0.0,0.0,214.89828700630503,0.0,0.0,-0.10338112830965418,-33.378239211328776,0.30434782608695654,28,2,5,1,0,1,2,1,3,3,2,5,3,0,0,0,4,4.978800000000003,111.92240000000004,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL101035,14.109720574547637,-4.714364021883623,14.109720574547637,0.22393626868871142,0.4861421363268081,478.6169999999996,442.3290000000003,478.281266432091,186,0,0.34785454595618465,-0.48772260614268764,0.48772260614268764,0.34785454595618465,1.1142857142857143,1.8571428571428572,2.5428571428571427,2.036260353783198,2523.895386922879,56.09097545816253,52.96081284889138,16.96081284889138,31.207625209303213,26.79832949015932,8.956688703659449,6.047666475021637,6.047666475021637,3.534993733624578,3.534993733624578,2.1213788048974136,2.1213788048974136,-3.3599999999999994,52794774876754.76,5.952681081815955,10.923998049453244,6.834651944778997,257.5275777070491,19.676473741020995,37.61693890698305,2.8236841566564013,0.0,0.0,7.442956590666273,5.309813353288376,9.476340119217006,5.098681808301038,0.0,38.20396525891062,43.10640436327545,33.593898125786275,53.28521443493927,68.63175616040634,17.53636356485666,0.0,9.780484743446223,0.0,32.8225589385795,49.78716148827344,65.6391478555151,0.0,11.436898107967467,20.249424140509323,16.29978623659041,5.749511833283905,0.0,54.97913403748099,10.15185342319683,6.851892117295679,77.04808819204979,54.38176836896965,4.235526234984602,5.687386274683562,0.0,81.85000000000001,182.11506443532474,4.794537184071822,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,9.835544762101087,54.20742154240195,0.0,0.0,0.0,0.0,0.0,296.6633929740027,0.0,0.0,-0.22393626868871142,-51.52279003864734,0.4074074074074074,35,3,8,0,1,1,2,1,3,5,3,8,8,0,1,1,4,3.416120000000001,137.96209999999994,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL103667,14.590524933328187,-4.808772444975081,14.590524933328187,0.24508253777689992,0.328328920248572,528.6770000000006,490.3730000000004,528.2969164960911,204,0,0.3478545459699567,-0.4870681215753735,0.4870681215753735,0.3478545459699567,1.0256410256410255,1.794871794871795,2.5384615384615383,1.8994971558566396,3005.5927339615946,60.40037653492104,56.96081284889138,18.96081284889138,34.02899241434913,29.048329490159315,10.206688703659445,7.047666475021637,7.047666475021637,4.391926469370056,4.391926469370056,2.7817779085156285,2.7817779085156285,-3.879999999999999,1029629470209395.2,6.874458751571083,11.471316997387193,6.407509731014803,283.0191832391204,19.676473741020995,37.61693890698305,2.8236841566564013,0.0,0.0,7.442956590666273,5.309813353288376,9.476340119217006,5.098681808301038,0.0,62.3736400895638,31.02156694794886,38.67896028003232,61.71411782196329,71.37327327274677,28.308811993786254,0.0,9.780484743446223,0.0,32.8225589385795,49.78716148827344,77.7239852708417,0.0,11.436898107967467,20.249424140509323,16.29978623659041,5.749511833283905,0.0,54.97913403748099,10.15185342319683,6.851892117295679,79.78960530439022,66.46660578429623,4.235526234984602,16.459834703613154,0.0,81.85000000000001,204.97235027958095,4.794537184071822,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,9.835544762101087,56.9489386547424,0.0,0.0,0.0,0.0,0.0,318.7417867841154,0.0,0.0,-0.24508253777689992,-56.913370913005124,0.3548387096774194,39,3,8,0,1,1,3,1,4,5,3,8,8,0,1,1,5,4.569320000000004,155.46809999999974,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL104749,14.055381131189433,-4.756769481817842,14.055381131189433,0.4921498091298857,0.5372778327875163,452.5789999999996,418.30700000000024,452.26561636809095,176,0,0.3478545459699567,-0.4870681215753735,0.4870681215753735,0.3478545459699567,1.1515151515151516,1.9393939393939394,2.696969696969697,2.0836131608464017,2438.808201431694,52.93627491978329,49.96081284889138,15.960812848891381,29.386258004257297,25.298329490159322,8.456688703659449,5.8240596772716575,5.8240596772716575,3.5683196716200776,3.5683196716200776,2.214072810203147,2.214072810203147,-3.099999999999999,9409998968871.59,5.579748682302525,9.804720603553859,5.63855495428453,242.34220703238464,19.676473741020995,37.61693890698305,2.8236841566564013,0.0,0.0,7.442956590666273,9.99161628843356,4.794537184071822,5.098681808301038,0.0,44.725351182540216,12.08483741532659,45.654787180314585,50.543697322598824,65.89023904806591,28.308811993786254,0.0,9.780484743446223,6.975826900282246,25.970666821283817,49.78716148827344,47.99085894849152,0.0,5.749511833283905,20.249424140509323,16.29978623659041,5.749511833283905,0.0,54.97913403748099,17.127680323479076,0.0,68.74311958801238,42.29693095364306,4.235526234984602,10.772448428929591,0.0,81.85000000000001,174.35757540067894,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.835544762101087,51.46590443006151,0.0,0.0,0.0,0.0,0.0,280.1179796370286,0.0,0.0,-0.4921498091298857,-48.04249649456546,0.44,33,3,8,0,1,1,2,1,3,5,3,8,7,0,1,1,4,2.808700000000001,130.3751,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHEMBL104991,14.545000241970163,-4.800049933401007,14.545000241970163,0.20841587111023285,0.3369430217665188,529.6650000000008,492.3690000000004,529.292165464091,204,0,0.3478545459699567,-0.4870681215753735,0.4870681215753735,0.3478545459699567,1.0512820512820513,1.8717948717948718,2.6666666666666665,1.8828145059000523,2983.3941460819933,59.53013304691796,55.90802644439134,18.908026444391336,33.60147205942057,28.495543085659275,10.153902299159405,6.994880070521595,6.994880070521595,4.3530332671200345,4.3530332671200345,2.753441987165616,2.753441987165616,-3.9499999999999993,689741677884835.0,7.0262535547697125,11.427434650325178,6.3785660682395635,280.8338607198991,19.676473741020995,37.61693890698305,2.8236841566564013,0.0,0.0,7.442956590666273,10.293791874235584,9.476340119217006,5.098681808301038,0.0,44.725351182540216,31.02156694794886,44.3728882748808,66.51625447660783,70.00251471657656,28.308811993786254,0.0,14.76446326439343,0.0,32.8225589385795,49.78716148827344,71.94251956948133,0.0,11.436898107967467,20.249424140509323,16.29978623659041,5.749511833283905,0.0,59.96311255842819,10.15185342319683,6.851892117295679,78.54932325137148,60.55466357978442,4.235526234984602,16.459834703613154,0.0,94.74000000000001,199.1908845782206,4.794537184071822,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,14.819523283048294,55.578180098572176,0.0,0.0,0.0,0.0,0.0,309.45911167513685,0.0,0.0,-0.20841587111023285,-51.334029137359856,0.36666666666666664,39,3,9,0,1,1,2,2,4,6,3,9,8,0,1,1,5,3.9643200000000034,153.26309999999978,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
CHEMBL1078859,14.79647770487168,-3.7110128002392173,14.79647770487168,0.27765356530327656,0.6024982036449172,463.2779999999998,446.1420000000001,462.0390609440005,150,0,0.26866016524522174,-0.4873324757112593,0.4873324757112593,0.26866016524522174,1.103448275862069,1.8275862068965518,2.5172413793103448,2.4317459492212716,1805.375125428455,35.75411216497907,30.753065481419185,15.339062020533891,20.743422923947445,15.672297672441399,8.070868750998835,5.006320522044609,5.79931879160196,3.099603990596676,3.7989135495505986,1.8139991528838162,2.1713787872273764,-2.999999999999999,1855548323.2064104,8.024691358024691,8.566329565734682,4.70808116767533,197.41068976218372,15.023679577317676,28.415658274124397,2.8236841566564013,5.907179729351506,5.559266895052007,0.0,9.589074368143644,8.78083009534964,0.0,0.0,12.08483741532659,52.5149623375952,33.0179440620797,22.94596235835858,41.69729273243122,21.837123627300855,0.0,4.567099647791355,5.719716975726273,19.907737044527913,0.0,97.18459740829385,0.0,5.749511833283905,16.01584682457833,8.78083009534964,5.749511833283905,15.929943897949348,10.47427937714286,13.055844927232233,18.48633379938747,47.7401979965646,57.606606361210595,2.8236841566564013,0.0,0.0,74.32000000000001,129.67420580711166,18.369904463493285,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,15.929943897949348,28.121925453009744,0.0,0.0,0.0,0.0,0.0,135.35687698086005,0.0,0.0,27.34793634761494,-6.338340100090724,0.14285714285714285,29,2,5,0,0,0,2,1,3,4,1,8,7,0,0,0,3,3.9236200000000023,107.89090000000003,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1080052,14.573275053020655,-1.552698463766493,14.573275053020655,0.23349792713143436,0.42614436881836343,436.2699999999999,427.1980000000001,434.9811447080003,140,0,0.20833322041255886,-0.287367624503494,0.287367624503494,0.20833322041255886,0.8571428571428571,1.6071428571428572,2.357142857142857,2.0770315787802076,1681.0558758730763,27.668325727352162,22.169995259464507,15.498349732429144,17.199060178104613,11.689121774964185,8.761547301910369,5.021244789231728,6.776244502012963,3.3203428574673,4.749750428668279,2.192344228107829,3.3694415601058956,-2.479999999999999,91673208.44095518,10.899233136783337,7.502544653879883,3.4830960829651327,183.9174124720072,0.0,16.660401660761032,0.0,5.428790391900542,0.0,0.0,4.794537184071822,8.78083009534964,5.098681808301038,9.72878298927049,41.00618343751945,36.25451224597977,16.501353674878064,39.63514105314267,21.117657100881615,40.48046544747241,0.0,14.827464797571528,0.0,9.921443454187017,0.0,86.41528075766792,0.0,11.126902983393991,5.428790391900542,8.78083009534964,0.0,34.963764729856145,14.827464797571528,0.0,11.63444168209179,12.33682700553198,69.22822551037996,10.045266627482652,16.643603701010253,0.0,47.260000000000005,108.18579072879339,13.575367279421462,0.0,11.761884949391115,4.630101180969453,0.0,0.0,0.0,0.0,10.197363616602075,35.538706785997014,0.0,12.586699137616934,0.0,0.0,0.0,71.35037329454931,0.0,0.0,28.953416373864833,4.831733416191144,0.0,28,0,4,0,0,0,2,2,4,5,0,9,3,0,0,0,4,5.492700000000002,105.19400000000002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1082158,15.049731972737163,-3.1295180242433203,15.049731972737163,0.10081850487108457,0.48073309803573727,440.84099999999995,425.72100000000023,440.0963932200004,156,0,0.2510724403473115,-0.349305849950515,0.349305849950515,0.2510724403473115,1.096774193548387,1.8709677419354838,2.6129032258064515,1.7306220956730147,1985.392789244969,34.74567599654179,29.725423282491292,15.48135222850975,21.087905398438366,15.577959225495501,8.561496507504813,5.7741502570471654,6.152114730056393,3.8370193564032795,4.110517018380745,2.4317721792265647,2.5685210102152976,-3.5899999999999994,5181487336.247983,8.876110518926215,7.586436388692999,3.678033341185833,200.78243062166385,10.619626706576751,5.687386274683562,20.275988616583216,0.0,5.907179729351506,0.0,4.794537184071822,13.462633030494823,10.197363616602075,5.098681808301038,17.643358597895812,42.95794334097523,17.06437818472752,46.29556194766747,34.21891266629072,39.916293604183664,0.0,25.287661713336675,0.0,18.763742271008404,5.309813353288376,70.82082915513939,0.0,5.687386274683562,10.619626706576751,20.28607914786823,0.0,11.600939890232516,31.902920557749447,0.0,11.63444168209179,40.923699708640456,48.60030266760929,7.846317470397728,16.59031120676462,0.0,84.73,128.8971247680709,4.794537184071822,8.78083009534964,9.99161628843356,0.0,0.0,0.0,0.0,0.0,15.296045424903113,32.244485277101774,0.0,6.182680134563382,0.0,0.0,0.0,120.0520954672531,0.0,0.0,30.38757851147365,-5.761243002178994,0.14285714285714285,31,2,7,1,0,1,2,2,4,6,2,10,5,1,0,1,5,4.382900000000001,111.79890000000005,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1082159,15.075402982072944,-3.391263211599213,15.075402982072944,0.2450416493326535,0.5250361268941472,421.4069999999998,404.27100000000013,421.1350312240005,156,0,0.2511320518781044,-0.4366639897549707,0.4366639897549707,0.2511320518781044,1.1612903225806452,1.967741935483871,2.7096774193548385,1.760546299259785,2043.9657569935987,36.37543250853871,31.80849350444597,14.808493504445972,21.871709908914987,16.652798088454837,8.205584492954877,5.787489808423986,5.787489808423986,3.8339539357711008,3.8339539357711008,2.4144505286525484,2.4144505286525484,-3.879999999999999,10317817800.48759,7.99069939448967,7.423383190985843,3.5834305821345134,199.1596739231749,10.046676307088426,11.436898107967467,13.04628376041999,5.879988336435371,5.907179729351506,0.0,4.794537184071822,13.462633030494823,10.197363616602075,5.098681808301038,12.08483741532659,49.330868242304604,21.17665385323818,35.58554235924257,41.656209210273246,16.81010466143256,0.0,25.287661713336675,0.0,25.615634388304084,0.0,71.36164733309506,0.0,17.316886444402837,10.046676307088426,8.78083009534964,11.629500169719275,0.0,31.902920557749447,0.0,18.48633379938747,50.599426868848134,48.60030266760929,1.4118420783282006,16.590311206764618,0.0,81.93,136.41408618052296,4.794537184071822,8.78083009534964,4.681802935145185,0.0,0.0,0.0,0.0,0.0,15.296045424903113,28.080841930851765,0.0,0.0,0.0,0.0,0.0,135.32586185533864,0.0,0.0,30.395847613478544,-6.221709468817192,0.18181818181818182,31,1,7,1,0,1,2,2,4,6,1,9,6,1,0,1,5,4.086620000000003,108.31720000000004,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1087650,9.150783048562213,-3.8283463340691197,9.150783048562213,0.16534152820186288,0.4064128067965057,474.5679999999998,448.3600000000003,474.21680945200075,178,0,0.2930926118495384,-0.5079438669823635,0.5079438669823635,0.2930926118495384,0.8055555555555556,1.6388888888888888,2.4722222222222223,1.6274557231744784,2771.2264215087935,46.839534123676465,43.591529863463606,17.59152986346361,28.257790922729093,22.969260806445522,10.061012515981657,7.2610125159816565,7.2610125159816565,5.163056507978232,5.163056507978232,3.632868047418065,3.632868047418065,-4.229999999999999,7946436281442.705,7.396723310694265,8.171098211110904,3.3495598198701466,245.45603837856,10.00871792195769,11.443439828132366,5.647177220767728,0.0,1.4311996572326342,0.0,9.883888251797686,9.499376414562832,5.098681808301038,0.0,24.16967483065318,61.209134246951685,71.32854764521475,34.5602749414392,39.37777209536272,11.33456349545129,1.4311996572326342,24.48194647466155,0.0,18.40870983802867,24.869455999764615,84.98529141674052,0.0,39.39117378976881,4.899909730850478,5.687386274683562,5.749511833283905,0.0,63.027285528614826,0.0,0.0,40.64188880558489,84.98529141674052,0.0,39.28883917725263,0.0,69.79,178.989194539754,0.0,0.0,4.899909730850478,4.5153978936156225,0.0,0.0,0.0,0.0,20.175447041302665,35.70016356148814,0.0,0.0,0.0,0.0,0.0,223.2375768310467,0.0,0.0,0.5488280239781862,-29.453071521691513,0.20689655172413793,36,1,7,0,2,2,2,3,5,7,1,7,6,0,2,2,7,4.723600000000005,140.92379999999986,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
