,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100081,15.2360789884884,-6.900593601499946,15.2360789884884,1.1801649021719594,0.35317605021984483,553.6810000000016,518.4010000000003,553.2246568400009,208,0,0.3477177982291476,-0.758643596646518,0.758643596646518,0.3477177982291476,0.9743589743589743,1.641025641025641,2.3076923076923075,2.266538452741746,2865.3859687956547,58.53856921535524,53.69937881974691,19.51587540067464,32.5498828037431,27.15929455389482,11.204930691695546,6.465672825282809,8.189202167073097,4.1143333442367,5.588942870224629,2.511980767712411,3.68896950162648,-3.599999999999999,181993690735696.22,7.775494658064131,12.967419982698962,6.889240255181464,278.81139463397034,25.047034759913156,25.966710672128244,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,9.099753175368056,8.417796984328938,0.0,0.0,24.16967483065318,79.39450075832087,12.33682700553198,75.57305810181406,75.63771106640708,21.61785715744265,0.0,5.4731213474032465,0.0,37.36300998111754,37.39273274604294,88.36421328416452,0.0,11.49902366656781,24.1449977264321,5.687386274683562,11.49902366656781,0.0,47.41249346842715,16.520150837723527,12.05914514207297,85.8386987167682,71.36208925981401,2.8236841566564013,0.0,0.0,112.44,201.39563963809397,12.743307321189551,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,50.0540623517333,0.0,-6.900593601499946,0.0,0.0,0.0,291.1840288375236,0.0,0.0,29.29199307480484,-52.99209497749515,0.3448275862068966,39,2,9,0,1,1,3,0,3,6,2,10,13,0,1,1,4,3.074320000000001,149.72669999999982,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL100134,14.844709031799127,-6.719824577979335,14.844709031799127,1.0461088496974142,0.37633465403086913,538.4640000000012,510.24000000000024,537.0933040960007,178,0,0.3484336786910555,-0.7586435931191412,0.7586435931191412,0.3484336786910555,1.2121212121212122,1.9393939393939394,2.5454545454545454,3.583378295171124,2219.6733405200566,48.781574381404035,43.66909500229228,18.071588122334713,26.6471116925192,21.690028499935575,10.02866290729365,5.121406771323562,7.637934382671201,3.23372233561534,5.104830996381945,1.9410874355295062,3.4689317577634866,-2.5799999999999987,364074627196.66754,7.457259422708533,12.042972846682066,6.481185683808042,242.67856584825418,20.310171806113107,16.39973070826849,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,9.099753175368056,8.417796984328938,0.0,0.0,21.85037821680499,68.29407440841945,16.809546521364393,63.236231096282104,61.30553821941551,37.547801055392,0.0,5.4731213474032465,0.0,25.451159827404812,37.3306071874426,57.06138776998346,0.0,17.590380470995193,19.408134772632053,5.687386274683562,5.749511833283905,15.929943897949348,47.3503679098268,10.023291153407584,23.90001377978426,65.26494686248296,45.622715237329956,2.8236841566564013,0.0,0.0,103.21,152.36932657831596,18.41958719317805,0.0,0.0,0.0,11.840868637711289,0.0,0.0,0.0,20.6668068517494,38.46340661708213,0.0,-6.719824577979335,0.0,0.0,0.0,224.31132342717265,0.0,0.0,27.501476991505655,-30.347705602292265,0.34782608695652173,33,2,8,0,0,0,2,0,2,5,2,10,13,0,0,0,2,2.11712,131.92569999999995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL100146,14.957873331139542,-6.8967899792866785,14.957873331139542,1.0360332708483861,0.37380315941991454,509.58399999999983,482.36800000000034,509.1620565840007,188,0,0.2631404473144903,-0.4967671172101785,0.4967671172101785,0.2631404473144903,1.0277777777777777,1.7222222222222223,2.4444444444444446,2.3425347883207057,2530.6537251830946,49.1932697537345,44.19937881974692,18.015875400674645,28.212837271094884,22.416205103626798,10.500806546463616,6.112577099227429,7.836106441017716,3.987965255614313,5.462574781602243,2.4749070408177687,3.588239046614554,-3.7299999999999995,3148081053497.564,8.137612328383709,10.89998971815135,5.251918266871553,247.55339478586342,9.636772684650527,11.767404301633551,1.4118420783282006,17.361670539991724,5.907179729351506,0.0,14.79860818918744,13.890918331732184,4.305215991296234,0.0,48.33934966130636,47.71192142303984,26.781722197350206,44.47470818595051,65.06527376713282,27.525036886794155,0.0,9.77833733869948,0.0,30.156085430842126,18.43472187404901,89.67834618301686,0.0,5.749511833283905,15.109894032053774,5.687386274683562,5.749511833283905,0.0,49.299610866920155,32.482150107196546,0.0,51.76879178897891,83.44692667514062,2.843041735560835,0.0,0.0,116.25000000000003,181.3220395466856,22.119147020983238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.946396774843846,32.99972997130567,0.0,-6.8967899792866785,0.0,0.0,0.0,224.88815152185995,0.0,0.0,28.5515278357129,-28.792889378286212,0.23076923076923078,36,2,9,0,1,1,3,0,3,6,2,10,9,0,0,0,4,2.7395000000000014,132.998,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100280,14.454580853174598,-6.571169834446117,14.454580853174598,0.9848559590772239,0.6587442543591556,434.49399999999974,410.3020000000002,434.13913006791057,162,0,0.26359955133741897,-0.758643596634317,0.758643596634317,0.26359955133741897,1.2333333333333334,1.9666666666666666,2.6,2.768550981052047,1943.4113770899019,42.65181786940711,38.19937881974692,15.015875400674643,23.763137096303637,19.212080958394868,8.704930691695548,4.876807353791857,6.600336695582144,3.168535137000268,4.551857570070668,1.923180279004974,2.888702774292757,-2.6599999999999997,26916946313.931824,6.666901347680244,9.4346823842529,4.565962928767742,209.14674195063182,20.154100279780636,7.161353911612106,0.0,5.907179729351506,10.023291153407584,0.0,13.999662906218534,8.417796984328938,0.0,0.0,12.08483741532659,35.77554503001347,38.803232958762074,55.49286397299662,55.625348946244166,21.61785715744265,0.0,10.373031078253725,0.0,11.39234315983372,44.43068520492553,58.63108696181434,0.0,5.749511833283905,14.515200292499529,5.687386274683562,5.749511833283905,0.0,59.35035565816021,21.257013791523576,5.20725302477729,47.44888695938091,47.192414429160834,1.4118420783282006,0.0,0.0,111.24,146.98726237077662,18.41958719317805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,32.93928887024326,0.0,-6.571169834446117,0.0,0.0,0.0,193.76232306502584,0.0,0.0,27.74534592309145,-22.603165820337882,0.35,30,1,9,0,1,1,2,0,2,7,1,10,9,0,1,1,3,1.5800999999999996,111.95400000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100564,14.584920444372777,-6.6987623845260424,14.584920444372777,1.1469855887068534,0.4518128386429873,476.5309999999998,450.32300000000026,476.14969475191066,178,0,0.322587565168076,-0.758643596634317,0.758643596634317,0.322587565168076,1.1515151515151516,1.9393939393939394,2.606060606060606,2.8131207416158936,2175.7554758716087,46.729168138596734,41.60762711021078,16.424123691138504,25.933857399958665,20.9162051036268,9.409054836927481,5.446944086000178,7.170473427790467,3.6098396377248956,4.993162070795296,2.2062463398335526,3.1717688351213376,-3.1499999999999995,227113023860.63614,7.423850949726181,10.194760464207736,4.945548175048406,228.8480892798044,20.154100279780636,13.179246379961752,0.0,5.907179729351506,10.023291153407584,5.969305287951849,18.794200090290357,8.417796984328938,0.0,0.0,12.08483741532659,55.01825451698817,28.551030702470605,49.41284594604663,63.16140324265645,27.5871624453945,0.0,10.373031078253725,0.0,30.156085430842122,31.853807493659602,58.63108696181434,0.0,5.749511833283905,14.515200292499529,5.687386274683562,5.749511833283905,0.0,58.76067570319577,26.0515509755954,5.20725302477729,62.93625387438014,47.192414429160834,1.4118420783282006,0.0,0.0,128.31,159.14343221847096,23.21412437724987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,35.680805982583706,0.0,-6.6987623845260424,0.0,0.0,0.0,210.33757141989503,0.0,0.0,27.91518657563142,-19.30399561100041,0.36363636363636365,33,1,10,0,1,1,2,0,2,8,1,11,11,0,1,1,3,1.8852999999999998,121.30600000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100570,13.329153273438223,-6.216160941314064,13.329153273438223,0.967253091347521,0.6124705903368194,376.4339999999997,356.27400000000006,376.1092927400005,138,0,0.2613143691375837,-0.49676781835201944,0.49676781835201944,0.2613143691375837,1.2307692307692308,1.8846153846153846,2.5,2.4647050826870425,1689.3856406556615,36.07446760021749,32.34391693378309,13.160413514710822,20.510701784244542,16.291260565144928,7.875862007981748,4.409542068953044,5.928947265511401,2.8198188170387852,3.934412510826557,1.7009899798270496,2.5934892404773664,-2.42,1493308692.8927565,5.786860779912207,7.44583257827686,3.7181690915265473,180.0102670795843,4.736862953800049,11.767404301633551,1.4118420783282006,11.454490810640218,5.907179729351506,0.0,10.00407100511562,13.890918331732184,4.305215991296234,0.0,36.25451224597977,35.14811679174695,14.721411021337264,29.19201201807538,50.67542668986943,15.930470882759089,0.0,9.77833733869948,0.0,18.88767705399497,12.742909344032746,53.90280115300335,0.0,16.876414816677897,10.209984301203296,0.0,5.749511833283905,0.0,42.60052833840287,21.314688021795348,0.0,36.61003040409034,48.33934966130636,2.843041735560835,11.126902983393991,0.0,95.94,128.11861058916756,13.212334168400758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.946396774843846,27.51669574662479,0.0,-6.216160941314064,0.0,0.0,0.0,159.48276425961348,0.0,0.0,25.613128403369895,-18.046398388335984,0.2777777777777778,26,2,7,0,1,1,2,0,2,5,2,8,7,0,1,1,3,1.7716999999999992,96.09400000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL100584,13.542349172006912,-4.8968375866818254,13.542349172006912,0.6143703685172368,0.19754134966191123,492.9629999999998,467.76300000000026,492.15643296000064,180,0,0.2770932455409091,-0.380279559921684,0.380279559921684,0.2770932455409091,1.0285714285714285,1.7428571428571429,2.4857142857142858,1.9709756289517741,2478.879268219735,46.53013304691796,41.79981201686451,17.555740962882968,27.07592147791648,21.33794208023113,9.360444667276537,5.908416990686955,6.2863814636961814,3.741331239637999,3.9303134761426124,2.1972237842860247,2.291714902538331,-3.589999999999999,1211329869834.268,8.229655808062226,11.702174192903428,6.30159550143169,241.89465291669975,4.736862953800049,5.516700717616262,1.4118420783282006,7.33837938658414,5.559266895052007,0.0,14.79860818918744,10.154924282548432,0.0,5.098681808301038,65.15367464719374,53.605879108402924,18.373285778908368,49.07180639672445,49.11142248639159,28.41104455166508,0.0,20.466991186504337,5.893957685363079,19.242709486974704,13.117970485832577,93.44891337652172,0.0,11.126902983393991,11.032388242455253,0.0,0.0,11.600939890232516,39.22855387532898,22.401184723517193,5.893957685363079,43.463823184941454,77.30356167603136,7.865675049302161,22.029827915475046,0.0,106.34000000000002,165.0009457779952,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25846367879975,45.97142841770843,0.0,5.815060763326018,0.0,0.0,0.0,207.0704032668825,0.0,0.0,-0.6143703685172368,-11.326649217246842,0.23076923076923078,35,2,8,0,0,0,3,1,4,7,2,9,11,0,0,0,4,3.882900000000002,133.24519999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100777,15.168811414061974,-6.954696281429772,15.168811414061974,0.9458478561606325,0.31372722560921634,574.7030000000017,540.4310000000004,574.2249911880009,214,0,0.34745819566716,-0.758643594704289,0.758643594704289,0.34745819566716,1.0,1.6829268292682926,2.341463414634146,2.2615204955989605,3168.8159827973795,58.71821378011683,53.73834412478301,20.55484070571074,33.27013193025485,27.421866656680898,11.96750279448162,7.379638130318905,9.103167472109194,4.923792769216751,6.307115202287155,3.1449349711934373,4.110457466481224,-3.959999999999999,429352365509524.4,8.543875118771053,11.876375691594708,5.912781053694654,288.00449287744124,20.310171806113107,7.161353911612106,0.0,5.907179729351506,10.023291153407584,1.4118420783282006,13.999662906218532,8.417796984328938,0.0,0.0,36.25451224597977,69.75973385766363,38.803232958762074,74.68126676161013,69.53008955643682,32.39030558637224,0.0,10.373031078253725,0.0,11.39234315983372,51.28226098800709,94.88559920779414,0.0,16.876414816677897,19.408134772632053,5.687386274683562,5.749511833283905,0.0,66.20193144124178,16.520150837723527,5.20725302477729,59.785713964912915,83.44692667514062,2.8236841566564013,21.899351412323583,0.0,106.45000000000002,216.88563629229407,15.48482443352999,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,41.204923729422575,0.0,-6.954696281429772,0.0,0.0,0.0,289.30396945712187,0.0,0.0,28.99033876157288,-53.08961193726497,0.25806451612903225,41,2,9,0,1,1,4,0,4,6,2,10,11,0,1,1,5,2.8984000000000023,160.69769999999966,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CHEMBL100805,13.667289272063929,-4.807112588367828,13.667289272063929,0.4522499398719213,0.28508817919887247,445.4749999999998,422.2910000000002,445.16377083600065,168,0,0.32833063868707985,-0.4927661500835444,0.4927661500835444,0.32833063868707985,0.9696969696969697,1.606060606060606,2.3333333333333335,2.0645454263081726,2428.7716510734886,43.27062002292412,38.88288223881919,15.88288223881919,25.43014520064378,19.847511179958364,8.544835698494586,5.675038490158338,5.675038490158338,3.6800942698903145,3.6800942698903145,2.2216262698000624,2.2216262698000624,-4.169999999999999,255140970454.93427,7.4273615195596205,9.968207596059353,5.017950648934466,221.11458507521533,9.713866224029301,5.749511833283905,2.8236841566564013,7.33837938658414,5.559266895052008,5.689743398203474,19.365707836978792,10.267658531475067,0.0,0.0,54.38176836896965,41.669502715376545,10.609135352826605,46.6587633152542,46.41098889620912,16.81010466143256,0.0,15.017224265423852,5.893957685363079,12.869784585645323,6.558985242916289,99.38952786102199,0.0,16.876414816677897,21.45899459445878,0.0,5.749511833283905,0.0,27.219801711332195,11.291396868387768,5.893957685363079,33.788096024733775,88.1405175677665,4.254883813889036,22.029827915475046,0.0,113.42,163.8269247503373,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209533821043797,36.40691789109348,0.0,0.0,0.0,0.0,0.0,188.77365580158005,0.0,0.0,-0.8234744613014953,1.0498186597214016,0.16,33,3,8,0,0,0,3,1,4,6,3,8,9,0,0,0,4,2.947499999999999,124.23790000000004,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101121,13.450041868320257,-4.7309357972157855,13.450041868320257,0.6669721937277995,0.3237794649797397,430.4599999999998,408.2840000000002,430.1528718040006,162,0,0.2610427498758017,-0.4927661501170881,0.4927661501170881,0.2610427498758017,0.84375,1.34375,1.90625,1.9660332582025817,2074.37132778977,41.69326975373449,37.43566864331923,15.435668643319232,24.51946159812082,19.203083988958447,8.34762210299463,5.612206672106797,5.612206672106797,3.7181110966100226,3.7181110966100226,2.2848866300278075,2.2848866300278075,-3.9699999999999993,117238453306.81435,7.282356489584294,9.447067338257435,4.378336408288873,215.804512708053,4.736862953800049,5.749511833283905,1.4118420783282006,7.33837938658414,11.814359458703011,0.0,24.493055104109736,5.4731213474032465,0.0,0.0,54.38176836896965,41.669502715376545,13.350652465167045,44.14122425422668,54.58822118602458,17.721539188054518,0.0,10.373031078253725,5.893957685363079,6.372924901329379,13.055844927232233,89.67834618301684,0.0,16.876414816677897,10.209984301203296,0.0,5.749511833283905,0.0,40.886827667181024,4.794537184071822,5.893957685363079,54.504073376271464,78.55144319962284,2.843041735560835,11.126902983393991,0.0,95.94,159.97205877992766,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209533821043797,34.99507581276528,0.0,0.0,0.0,0.0,0.0,180.15041305945454,0.0,0.0,0.0,1.8495869405454388,0.16,32,2,7,0,1,1,3,0,3,5,2,7,9,0,0,0,4,3.540300000000001,117.21820000000004,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
