,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100551,9.115879472267686,-3.941247676213524,9.115879472267686,0.046365561889516904,0.33445457936047074,477.34799999999973,455.17200000000014,476.1018105440006,168,0,0.16812368210554882,-0.4951166372811203,0.4951166372811203,0.16812368210554882,1.0,1.84375,2.6875,2.0637101160831377,2007.7561930988793,41.634945532532555,37.177776489873736,16.689634381910647,24.149007678109676,18.944239207864427,8.805740962882968,5.494350130900693,6.2502790769191465,3.666519316564044,4.2061508900271685,2.385918140562317,2.7985910701510215,-2.94,52545387569.37012,7.829226557849631,9.684905421745013,4.478192377209587,226.3546110335439,29.56707852177695,31.6183529020067,14.322707823224212,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,23.20187978046503,17.648288907023584,39.48806965425956,59.670438517741474,49.18630709526102,46.212377885502214,0.0,9.967957041894417,0.0,6.372924901329379,44.85145456905709,51.645216155496044,0.0,17.248535499851716,24.8302155679769,23.01049810503718,17.248535499851716,23.20187978046503,44.19978490437476,11.10978785512943,0.0,38.5420741067984,30.473046544619407,12.868950784139054,0.0,0.0,86.76,132.50900252419464,0.0,0.0,10.619626706576751,0.0,0.0,0.0,0.0,0.0,14.704819995694464,67.65132392192604,0.0,12.265882668844966,0.0,0.0,0.0,176.7811817086184,0.0,0.0,0.0,-12.658175488574445,0.2727272727272727,32,2,8,0,1,1,2,1,3,8,2,10,11,0,0,0,4,5.217200000000004,124.78240000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100825,10.123435407396489,-4.650891821287232,10.123435407396489,0.06331583882590963,0.3176835740038235,547.5100000000014,517.2700000000002,546.1821923600909,194,0,0.3479841842683947,-0.4951166431890935,0.4951166431890935,0.3479841842683947,1.0789473684210527,1.8421052631578947,2.5789473684210527,1.8612858818427203,2801.3992565595627,52.90037653492104,48.40024521398211,19.912103106019018,30.353907371479668,24.890314729722775,10.751816484741314,6.893825466106892,7.649754412125346,4.599597712838311,5.139229286301434,2.9177320210994186,3.330404950688123,-3.3399999999999994,29333664188013.848,8.330080214745443,11.589376408715253,5.570579436041208,275.1729670786121,14.939610787220946,18.315592830392124,1.4118420783282006,0.0,0.0,1.4118420783282006,9.883888251797686,0.0,5.261891554738487,0.0,66.30828414374048,29.708600083036526,48.495535998803746,78.57627578091167,50.83472116335516,45.479577261913214,5.261891554738487,9.883888251797686,0.0,13.348751801611623,44.832064233750685,81.72683319066104,0.0,22.94563612947017,14.939610787220946,11.374772549367124,5.749511833283905,23.20187978046503,49.406139132259995,6.496859684315945,11.33111286753076,56.36003467345588,60.55466357978441,12.868950784139054,22.029827915475046,0.0,65.62,183.54479238184413,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,69.1436664636877,0.0,12.365813282643783,0.0,0.0,0.0,254.28474280718243,0.0,0.0,0.0,-42.928333867604096,0.26666666666666666,38,2,6,0,1,1,3,1,4,5,2,8,9,0,1,1,5,5.552880000000006,154.7053999999997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL101081,10.205528180626017,-4.6789906503181316,10.205528180626017,0.0005959392561936117,0.30259530515679856,564.4930000000013,535.2610000000002,563.1611225680908,200,0,0.34776215545535993,-0.4960872684572837,0.4960872684572837,0.34776215545535993,1.0256410256410255,1.794871794871795,2.5384615384615383,1.9374615628881697,2790.5447047134608,52.73723982810451,47.769528199409876,20.281386091446784,30.37944016074929,24.53599091740056,10.897492672419103,6.96037750855275,7.716306454571204,4.681790163849255,5.221421737312378,3.0070480752678956,3.4197210048566,-3.5399999999999996,29181620051340.07,8.9845325801667,12.102787240933333,5.898148415109648,278.23525336725476,24.413336694821044,30.561964347991974,1.4118420783282006,0.0,0.0,1.4118420783282006,4.9839785209472085,0.0,5.261891554738487,0.0,47.37155461111821,29.254159106383874,32.27943163830967,100.45989037833213,58.93768851478506,45.479577261913214,5.261891554738487,4.9839785209472085,0.0,6.372924901329379,51.994267809833964,75.68441448299777,0.0,28.695147962754074,19.676473741020995,11.374772549367124,11.49902366656781,23.20187978046503,51.6684329774928,11.10978785512943,11.33111286753076,48.137383999989964,54.512244872121116,12.868950784139054,22.029827915475046,0.0,80.84,178.53835245241532,8.003408667078928,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,9.720841474747257,69.76825374897707,0.0,12.395078347683313,0.0,0.0,0.0,244.06705342556106,0.0,0.0,0.0,-32.739909551022166,0.26666666666666666,39,2,7,0,1,1,3,1,4,6,2,9,10,0,1,1,5,5.298680000000004,154.82939999999974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL102595,10.135161414760692,-4.530731170274966,10.135161414760692,0.05576443342748161,0.358550066575562,533.4830000000009,505.2590000000002,532.1665422960908,188,0,0.34798418433446326,-0.4951166431890935,0.4951166431890935,0.34798418433446326,1.0810810810810811,1.8918918918918919,2.675675675675676,1.927759752578611,2723.1035603271143,50.40037653492104,45.9002452139821,19.412103106019018,29.103907371479668,23.640314729722775,10.501816484741314,6.782022067231902,7.537951013250356,4.487794313963322,5.027425887426444,2.8930803216619236,3.305753251250628,-3.3399999999999994,8644188380010.263,8.328076687806162,10.957178754229487,5.507880513995802,265.9980839638797,14.939610787220946,18.315592830392124,1.4118420783282006,0.0,0.0,1.4118420783282006,9.883888251797686,0.0,5.261891554738487,0.0,53.41397331878151,36.229986006666124,45.7540188864633,78.57627578091167,48.093204051014716,45.479577261913214,5.261891554738487,9.883888251797686,0.0,6.496859684315945,45.311031449716985,81.72683319066104,0.0,22.94563612947017,14.939610787220946,11.374772549367124,5.749511833283905,23.20187978046503,49.885106348226294,6.496859684315945,11.33111286753076,46.76662544381974,60.55466357978441,12.868950784139054,22.029827915475046,0.0,65.62,177.17186748051472,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,66.40214935134726,0.0,12.37121512266242,0.0,0.0,0.0,237.8471113247044,0.0,0.0,0.0,-37.746104225144634,0.2413793103448276,37,2,6,0,1,1,3,1,4,5,2,8,8,0,1,1,5,5.162780000000005,150.0883999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL103293,10.121179687165423,-4.657042880648345,10.121179687165423,0.06278318711316255,0.33735048697063735,534.4670000000012,507.25100000000043,533.1505578840907,188,0,0.347762155463722,-0.4951166431890935,0.4951166431890935,0.347762155463722,1.0810810810810811,1.8918918918918919,2.7027027027027026,1.9056917206316042,2695.124124564676,49.53013304691796,44.86127990894602,19.37313780098292,28.694988748881773,23.127742626936698,10.489244381955238,6.65419129070485,7.410120236723306,4.426634982309344,4.96626655577247,2.8341739300359654,3.2468468596246707,-3.3399999999999994,6196105851960.66,8.587664552711855,11.369376926185483,5.658444394035045,263.9468250230153,19.676473741020995,24.81245251470807,1.4118420783282006,0.0,0.0,1.4118420783282006,4.9839785209472085,0.0,5.261891554738487,0.0,59.4563920264448,28.775191890417574,26.715980146612672,90.68042080710913,51.459308448644556,45.479577261913214,5.261891554738487,4.9839785209472085,0.0,6.372924901329379,44.95631535095138,81.72683319066104,0.0,22.94563612947017,14.939610787220946,11.374772549367124,5.749511833283905,23.20187978046503,44.630480518610206,11.10978785512943,11.33111286753076,45.39586688764952,60.55466357978441,12.868950784139054,22.029827915475046,0.0,71.61,171.79330686791204,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,9.720841474747257,65.03139079517705,0.0,12.363995459736508,0.0,0.0,0.0,228.55243227938576,0.0,0.0,0.0,-31.94420551690006,0.2413793103448276,37,2,6,0,1,1,3,1,4,5,2,8,8,0,1,1,5,5.290080000000007,148.27739999999977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL103454,10.134913950772283,-4.873376436714876,10.134913950772283,0.05156822922374826,0.29358197606944214,561.5370000000014,529.2810000000002,560.1978424240908,200,0,0.3477021487760911,-0.4951166431890935,0.4951166431890935,0.3477021487760911,1.0769230769230769,1.8461538461538463,2.58974358974359,1.8384898641646026,2909.43893566488,55.40037653492104,50.90024521398211,20.412103106019018,31.603907371479668,26.140314729722775,11.001816484741314,7.018825466106891,7.774754412125345,4.668696013400817,5.208327586863939,2.924330321661924,3.3370032512506285,-3.3399999999999994,97880929318364.64,8.34228164303337,12.23217374922579,6.130080063330662,284.34785019334447,14.939610787220946,11.818733146076179,1.4118420783282006,0.0,0.0,1.4118420783282006,9.883888251797686,0.0,5.261891554738487,0.0,66.30828414374048,35.272051574733524,52.046526520776574,85.07313546522758,53.57623827569561,45.479577261913214,5.261891554738487,9.883888251797686,0.0,13.224817018625059,51.32892391806663,81.72683319066104,0.0,22.94563612947017,14.939610787220946,11.374772549367124,5.749511833283905,23.20187978046503,55.90299881657594,6.372924901329379,11.33111286753076,59.101551785796325,60.55466357978441,12.868950784139054,22.029827915475046,0.0,65.62,189.91771728317352,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,4.9839785209472085,71.88518357602813,0.0,12.368486662209378,0.0,0.0,0.0,271.63956311417235,0.0,0.0,0.0,-49.03582755415955,0.2903225806451613,39,2,6,0,1,1,3,1,4,5,2,8,10,0,1,1,5,5.595380000000006,159.57239999999967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CHEMBL103579,8.881129976867035,-4.525300020579606,8.881129976867035,0.1059698601662884,0.5608864758432107,388.9029999999996,363.7030000000001,388.1778371000007,144,0,0.22660622309569692,-0.39423183678761164,0.39423183678761164,0.22660622309569692,1.1481481481481481,2.037037037037037,2.814814814814815,2.7337708806094208,1811.2022032289617,40.91133089340096,37.969494336472835,13.725423282491294,23.03963567060297,19.102670233950054,7.177959225495501,4.627112286620372,5.005076759629599,2.8769047880814327,3.065887024586046,1.8107933696879304,1.947542200676663,-2.3799999999999994,19520073569.593178,5.154800176715339,8.102901424896904,4.308707283731513,198.69204499601113,20.29553454547532,1.3707585561702202,19.805424872875417,7.379538938219128,0.0,0.0,0.0,4.9839785209472085,9.967957041894417,0.0,31.347142832487172,37.72499804294432,34.54777328698739,29.846317874593915,38.08918058350846,40.21840616212159,1.4311996572326342,19.51903521063298,5.893957685363079,39.443353405882,17.17861194949304,35.49567985836073,0.0,0.0,10.619626706576751,17.453588333505085,0.0,11.600939890232516,38.635920770238755,0.0,5.893957685363079,63.58214917327727,30.473046544619407,7.846317470397728,11.16387793838399,0.0,87.89,121.31925581769957,0.0,0.0,9.87691300107973,0.0,0.0,0.0,0.0,0.0,20.060743753948838,46.012511939866414,0.0,5.95833832910668,0.0,0.0,0.0,202.4096909452761,0.0,0.0,-0.1801352320763696,-32.24344959786203,0.42105263157894735,27,3,7,0,0,0,1,2,3,7,3,8,12,0,0,0,3,4.233000000000002,109.77720000000002,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL103839,10.095546173644282,-4.007199829744817,10.095546173644282,0.09663539079803352,0.307142343016274,519.4320000000004,495.2400000000004,518.1276313680007,182,0,0.16662387926088265,-0.4951166431890935,0.4951166431890935,0.16662387926088265,1.0555555555555556,1.8611111111111112,2.6666666666666665,1.905305971713416,2535.5359469096225,46.10748331610759,41.36127990894602,18.87313780098292,27.061014152666214,21.43052903143674,10.239244381955238,6.52919129070485,7.285120236723306,4.357536681746838,4.897168255209965,2.8275756294734604,3.2402485590621657,-3.3399999999999994,1205280372476.5757,8.89678692531402,10.73231724948285,5.108855943192541,253.30891477587681,14.783539260888475,11.818733146076179,1.4118420783282006,0.0,0.0,0.0,9.883888251797686,0.0,5.261891554738487,0.0,53.41397331878151,34.81761059808087,45.316668522912025,75.95900978577193,42.41301477784337,45.479577261913214,5.261891554738487,9.883888251797686,0.0,6.496859684315945,38.459455666635435,81.72683319066104,0.0,22.94563612947017,10.046676307088426,11.374772549367124,5.749511833283905,23.20187978046503,43.033530565144744,11.233722638115994,11.33111286753076,42.65434977530907,60.55466357978441,11.457108705810853,22.029827915475046,0.0,70.41,165.42735721730062,5.261891554738487,0.0,5.309813353288376,0.0,0.0,0.0,6.069221312792274,0.0,9.720841474747257,60.87803160450841,0.0,12.361842282401891,0.0,0.0,0.0,201.76558939513453,0.0,0.0,0.0,-20.905209455314218,0.21428571428571427,36,1,6,0,1,1,3,1,4,6,1,8,7,0,1,1,5,6.664680000000008,144.2866999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL104071,14.098526346492019,-4.961676169299724,14.098526346492019,0.13903229694396524,0.31979516915525175,553.5140000000015,521.2580000000003,552.192757044091,198,0,0.34769468156017014,-0.4933630014300478,0.4933630014300478,0.34769468156017014,1.0526315789473684,1.8157894736842106,2.526315789473684,1.713485012312821,2848.826951924871,54.69326975373449,50.30849350444597,19.820351396482877,31.06590256901888,25.79165247045466,10.6531542254732,6.762843502006327,7.518772448024783,4.3902648195756395,4.95721152908948,2.783391320183468,3.3042129360498373,-3.099999999999999,58240182817399.5,7.978703989209856,11.742697636016269,5.967791323010118,277.1814699650646,19.5067104350123,11.567374611118932,1.4118420783282006,0.0,5.559266895052008,1.4118420783282006,9.694446914922299,4.9839785209472085,0.0,0.0,29.24429848812833,49.272757853925306,71.64394974360955,71.848637143724,53.57623827569561,45.61005376506468,0.0,14.450987899589041,6.975826900282246,6.372924901329379,51.32892391806663,80.9537342863909,0.0,16.876414816677897,20.498877682272955,11.50524905251859,5.749511833283905,23.20187978046503,60.4700984643673,6.975826900282246,0.0,47.49568158643601,65.34920076385623,12.868950784139054,22.029827915475046,0.0,63.830000000000005,184.60449248096953,4.794537184071822,0.0,9.87691300107973,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,71.88518357602813,0.0,12.456161032242118,0.0,0.0,0.0,267.8927813263623,0.0,0.0,-0.13903229694396524,-46.40435450610494,0.3103448275862069,38,2,7,0,1,1,2,2,4,6,2,9,10,0,1,1,5,4.250100000000002,155.33739999999972,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
CHEMBL104244,13.9207733367674,-4.8611008532158975,13.9207733367674,0.2262484400523963,0.5128471999053458,476.4319999999997,447.2000000000002,475.17744132809094,170,0,0.3474581935381093,-0.3541631334215216,0.3541631334215216,0.3474581935381093,1.15625,1.9375,2.65625,2.0078850535058037,2318.9131695738765,48.15181786940711,44.34745880948206,16.859316701518978,26.772521257536148,22.58061777549076,8.942119530509297,5.555988413792486,6.311917359810939,3.5986684051027695,4.165615114616611,2.266465273251227,2.7872868891175986,-2.1899999999999995,736686410992.3723,6.476360352313159,10.168758978796822,5.066838128734051,238.3805091243329,10.202747833420897,5.647177220767728,1.4118420783282006,5.948339280986494,5.559266895052008,1.4118420783282006,14.261546562713654,4.9839785209472085,4.9839785209472085,0.0,29.24429848812833,37.36996560996459,64.15035521275998,52.027367062136456,44.72709965338488,40.18362049668405,0.0,19.43496642053625,6.975826900282246,12.745849802658759,51.26679835946628,50.74164074807442,0.0,11.126902983393991,15.762014728472906,5.948339280986494,0.0,23.20187978046503,65.39195142671416,6.975826900282246,0.0,49.756330819254735,35.13710722553976,12.868950784139054,22.160304418626513,0.0,67.49000000000001,154.8370665370059,4.794537184071822,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,9.967957041894417,63.03604495371743,0.0,12.348986412209538,0.0,0.0,0.0,239.9375872122543,0.0,0.0,-0.2262484400523963,-44.171436295522646,0.43478260869565216,32,2,7,0,1,1,1,2,3,6,2,9,9,0,1,1,4,2.3247,131.01940000000005,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
